ax,ay,az,gx,gy,gz
6132,-5356,18860,5149,-552,-10388
7420,-2732,14900,3017,-12843,-866
10980,-4028,12240,-4700,-10824,-9953
17784,-5344,6804,40,-23900,8195
12508,-15536,-19620,1486,-22277,15312
8116,-17108,-9160,1628,5465,21744
1676,-20424,2532,2784,32767,15641
336,-16532,-6568,-811,5923,-4922
2440,-11728,2716,-3309,10861,-2859
4620,-6448,21448,4345,11341,-15614
1344,-672,13912,3156,-32103,-1204
9744,-5284,12728,-5445,11783,-6276
13312,-3744,7536,-6336,-10563,-2364
13740,-3772,7652,-1945,-21735,3372
11580,-6040,-12536,4401,-28521,12275
12924,-13320,-14360,-1504,4444,20272
2960,-18884,-6088,3238,19637,18946
1584,-14364,-6148,1164,2140,8921
392,-9256,7508,3672,17492,-5643
1976,-13108,4908,3807,11816,-1225
376,-16596,8036,-1088,11162,-6031
5236,-13712,7876,-4139,-2636,-1182
6804,-6028,17264,5621,-17095,-5804
7708,-3452,12804,-3034,-4865,-10719
14104,-7480,10020,-4710,-8389,-5362
11324,-6008,2868,5786,-23564,918
12916,-7344,-8188,-2556,-20702,11587
11480,-13512,-15232,-2649,1924,10308
2424,-14428,-15584,2307,13931,25751
12776,-20160,24940,-9,23798,11670
2528,-7188,3100,4285,22937,-9688
2152,-12620,2744,-2038,11391,-5050
5052,-15000,10476,-6522,12863,-3418
4464,-16604,7360,-1719,1440,276
2752,-14744,8916,-3838,-4361,3943
11564,-140,14620,263,-13047,1522
10868,2372,11108,-4077,-20636,-1341
14924,-7884,-8512,-5915,-18122,9931
14252,-13468,-15008,2560,-2012,10503
8464,-14804,-9972,1663,10809,19344
308,-21212,2188,7815,27919,11677
3060,-12144,-3708,3487,21809,-698
688,-11292,2644,-2431,18130,-4740
1584,-13444,7304,-3158,17359,-2849
4396,-13728,7800,-560,738,126
3468,-16192,8852,-440,-8772,3674
2828,-11848,4716,-4060,-18979,1507
9820,-2160,17616,-4901,-13818,243
10704,-468,15532,-6622,-15439,-6295
16528,-6000,1816,1403,-17438,2819
11008,-13480,-29396,304,-10858,13037
7340,-17348,-6248,4150,14678,18572
15516,-21392,14068,-971,1921,12273
-760,-9840,-1536,-1762,31204,-10561
1656,-9304,7048,32,15014,-3244
3268,-13416,7356,829,12350,-1044
3856,-15012,9324,-4667,2095,-2688
3292,-15520,7316,-3006,1035,2213
2552,-16104,6620,-1481,-6366,1921
764,-15800,4472,1328,-12223,3473
6976,-4592,9068,-418,-16151,-9995
13320,-10884,-10556,-8937,-31507,11903
11884,-10400,-10384,-5062,-8316,10366
7116,-15400,-10820,1150,15453,20945
1372,-18372,8968,4594,28238,15757
1908,-12540,-9644,1308,18232,-2683
2224,-10188,952,-1658,6859,-4401
6040,-14736,7880,-2098,7229,-2683
4720,-13180,7076,-646,7891,-580
3748,-15864,7220,-596,-5771,6624
1860,-17488,6744,1994,-10177,4788
-236,-9452,4000,-9997,-17913,5664
8936,-4012,16380,464,-13894,-1261
11012,-1184,13324,-4476,-17130,-1668
17456,-5664,-88,-184,-12831,4989
