ax,ay,az,gx,gy,gz
3468,16232,3284,11563,11511,5669
2160,12744,-2084,4691,3132,7039
3680,19788,-604,-8865,4849,914
4840,14840,5192,-5808,-11247,-849
1900,11468,1196,-13240,-11907,-737
4844,16456,692,-6055,-18791,-1402
1768,22636,6576,2833,5488,-6650
2376,20156,3992,11326,-7456,-2810
2144,16440,5316,8455,-7676,6293
-632,14192,1104,-2007,-15549,11176
1824,17520,-2408,-14896,-23234,3237
2396,15888,-6044,-6342,-28135,3450
3868,14440,-3168,-12290,-28491,10841
4112,14484,-3640,-15628,-11152,3351
7372,18052,4264,-4779,3410,-6870
428,16128,1336,4719,3786,-9383
4368,14132,2136,3204,5828,1622
1584,16292,-1068,4347,2053,3127
2972,19564,4512,-5574,-7878,3587
3472,15164,7980,-2932,-10455,-581
1160,13668,4316,-7932,-22422,5860
3700,10932,-392,-8558,-19536,6153
10952,20092,-1596,-13643,-18547,-1869
6664,19932,-732,-4758,-13228,-6657
4972,11976,4376,-10639,3894,-1236
2764,12316,5420,-1373,-8904,-4600
6796,17396,-11900,687,4112,-2019
-1944,15760,92,9298,32767,2048
1884,19644,2996,10320,22974,6891
2312,16332,420,12816,13204,2855
144,12448,-4220,2167,18629,-3914
3116,15648,5472,-8240,10192,-4513
832,19856,452,-12364,-103,456
5348,18792,11416,-15190,-16096,3891
9032,7392,3136,-4991,1572,-997
3616,9412,-2444,1164,13446,-8751
3580,15676,2920,9665,10054,-7056
-212,25572,3196,9762,23492,-169
3528,18956,4324,17318,-6537,9008
2560,8664,-948,-2041,9311,6553
3316,16364,-420,-5533,-10845,-88
4580,19796,168,-15363,-4100,-4811
4856,18368,1980,-11119,-24159,1283
2888,12560,-1056,-6968,-7565,2895
5444,16508,-3452,808,10349,-4267
1172,19496,2240,9021,13229,-5716
3068,16140,2060,12209,3544,5719
3644,10688,-1732,2833,6413,6623
3868,15992,-3256,-7977,-8382,49
7216,15120,5436,-9015,3617,-2159
3932,13452,428,-15958,-12176,2345
3592,13488,1704,-9520,-16917,3409
4620,16720,896,334,3435,-8012
2952,17748,4336,8613,16531,-6058
520,16896,1400,13554,11257,4171
108,12208,856,7162,1046,7234
3612,21856,-860,-9649,-25603,4761
-116,16044,3488,-15176,-26437,11924
4560,17392,776,-19040,-32768,7882
