ax,ay,az,gx,gy,gz
2900,-14312,-1316,-399,14634,-3504
3464,-13112,4264,-1850,6200,199
4884,-14316,4084,-1928,-5383,-1140
1468,-8332,-372,-6137,-11861,-3296
5552,-15156,-8444,-11692,-615,-3274
1588,-11888,-14168,-14660,9786,-21593
13260,-5884,-16584,-11963,5622,-12921
16264,-1540,-13608,209,5592,-9402
19660,-1264,-1744,2462,2908,-1742
16340,-2432,-2480,4666,2272,-4556
13668,-152,-8160,-5368,-4901,12989
13684,-7616,-4484,5346,-3080,18702
2620,-15236,9332,5950,6644,2309
1852,-12528,12336,429,-1232,999
1696,-15616,12608,-6817,3783,-1204
1152,-14724,4744,-14697,1805,-1060
2944,-20132,3380,-15197,859,-5241
4916,-18924,-8712,-6322,193,2163
2312,-16928,-9364,-511,-5068,5675
-648,-16380,-10232,8834,-3639,651
448,-13384,-6948,1885,7615,-4408
2716,-10640,-1392,5738,10152,-1369
2352,-11436,2832,5394,11311,968
4024,-15576,10376,3011,-3795,1898
11340,-3972,-8832,-11782,-14664,-8213
4088,-18860,-10888,2988,-6699,6138
988,-20332,-8552,9254,-8001,2184
1028,-12812,-2440,-1285,13708,-4627
1144,-9612,-580,3042,8746,-1020
2216,-12160,4220,3361,11935,2248
3288,-17832,8716,927,3213,2714
2392,-15324,6352,56,-5588,1021
1608,-9396,4744,-6106,-13660,2963
216,-12696,-4184,-990,-7916,6185
-512,-17508,-1576,-2618,4528,-1533
1324,-16804,-2160,-4899,-1690,-8542
1716,-11096,1896,1827,11366,-908
3400,-17060,9636,400,4457,4085
2176,-15068,4548,-134,-7865,-352
2200,-11100,3728,-4012,-7962,4278
468,-11140,-1732,-1408,-12156,5517
-1208,-18048,-3948,-4253,7570,2200
-556,-25328,-2980,-1605,1686,-4248
2356,-17020,412,13541,-7213,-4107
3248,-21748,13912,8820,10235,-1323
2944,-7980,7320,6790,1766,937
2700,-15736,18068,-54,5074,-2557
3056,-10312,11376,-1186,578,-396
932,-10868,1464,-9323,-6510,4328
-676,-13924,-188,-4122,-4668,5973
-2600,-17164,-3876,-2207,5297,1586
-3164,-18600,-4524,-3620,-2728,-5261
564,-16088,-5812,6437,628,-8515
3988,-19492,-5140,11312,3687,-5328
3988,-8168,11764,8249,-689,3219
2336,-14532,17080,6445,6469,-1833
2168,-10892,11884,-23,-784,-3605
3744,-11512,14756,-7579,3035,-5686
3308,-13868,11732,-13242,182,-4115
4396,-19960,7728,-24175,-950,-5459
260,-16348,-4168,932,-404,-5130
4088,-21292,-5292,10525,3788,-1592
1768,-15176,13216,7326,1035,414
2144,-16044,11688,4703,1853,440
2092,-11152,12424,755,-342,-3187
3116,-14184,11792,-3066,1178,-997
4332,-11048,9872,-11856,-4400,-1652
4212,-18460,4616,-10138,721,65
4020,-17168,680,-13187,731,-5371
6480,-16076,-9888,-1717,-4455,532
4496,-18064,-11036,5431,-1794,5370
2780,-18016,-7060,10321,-5606,3157
2132,-11384,10036,7323,4449,-364
1792,-11132,13332,1736,-2403,-1479
2352,-13196,11716,-2860,2525,-230
2532,-13192,11780,-5976,45,-2053
1680,-13728,11648,-9598,577,-3498
2648,-15856,5512,-5947,-5340,-4253
4792,-13768,716,-19271,-5561,-4950
4764,-18268,-7516,-2276,5332,4820
-2176,-24984,-5712,12228,2893,4992
-548,-11948,-7124,789,18484,-7481
908,-7128,-936,4113,10966,-3715
1680,-11520,6984,4230,18297,987
164,-14000,15064,-2763,765,-933
548,-13284,12324,-8426,-105,-3552
84,-12644,10656,-15325,653,-4320
2788,-16048,4720,-8711,-4766,-5825
6608,-14936,-15288,-6856,-9500,5971
1680,-21692,-6976,4483,-7022,7076
1712,-21096,-1708,3639,-4167,1655
380,-12400,-156,-3060,5162,-5755
764,-8756,-2212,2079,17344,-2539
1976,-11876,7980,1900,16340,-627
1720,-15912,3692,3731,-3898,6411
1708,-16388,6268,956,-8247,1039
1908,-10096,11832,-12127,-1764,-748
776,-14772,8996,-14664,-6803,-194
2400,-21636,-4384,-5396,7570,1441
-1604,-22604,-3724,6894,-2532,6386
-1344,-18164,-2448,-2473,17445,-12608
4,-7448,-2024,2611,9612,-5645
320,-10704,1632,3377,18109,-843
2032,-15424,13604,-2323,1667,3509
1556,-16640,4156,587,-7880,2461
1304,-14668,7480,851,-6923,3528
-152,-10644,5252,-5399,-14683,4422
-1600,-12700,-3128,-1599,-4172,6382
-3908,-23452,-5756,5627,-808,6043
-480,-18032,1372,-26,14193,-8835
-912,-10212,-2280,6981,2444,-8665
680,-9416,-1196,2679,18266,-3295
3452,-15232,12652,-2516,4586,137
1932,-15740,5548,2681,-2408,5640
1584,-14328,5496,593,-4350,602
2364,-13560,9600,-132,-7560,2302
600,-13024,4836,-9016,-8289,6064
-3268,-10548,-4232,-9097,-8242,7668
-792,-19544,3452,-816,11209,-887
-3272,-17948,-120,3952,2545,-3165
1444,-13512,-2192,468,2095,-10081
-108,-10332,-3860,-950,9617,-3007
-176,-8516,8364,6349,25185,-5559
1464,-14260,10572,-411,5395,1172
1044,-15760,7220,-3748,-5886,3936
1124,-12836,8616,-6867,-7139,-777
-1968,-5564,320,-9878,-17608,5141
-3512,-18752,-8848,4753,2836,3684
-4228,-20480,-2316,-2623,-14438,-1188
2996,-13684,-2252,5838,-192,-10752
1544,-16428,-3128,10401,-1483,-9785
7792,-15440,15048,9670,1849,3532
4768,-13360,10268,-501,10024,-2966
2836,-15024,8040,1051,-2711,4600
1316,-15944,4604,2109,-7458,3377
2468,-13444,6744,-3893,-5364,3542
-2616,-7284,1180,-6062,-13888,9615
-1988,-18348,-2712,-4443,8972,7921
-5156,-23452,-2688,660,-7104,4113
-3352,-15492,-1236,8198,-2868,-10037
-6252,-28276,28608,15705,25853,-5193
4692,-6272,10776,8180,608,-2375
1536,-12536,19812,3920,295,-394
2028,-6608,13764,570,1068,-1484
1108,-12916,4068,-2357,-3922,90
532,-7128,-3196,-7886,-14330,6759
-836,-17060,-396,-2909,2309,9846
-9480,-24520,-2200,8843,-7551,1777
2668,-13024,-376,8815,-2092,-5561
928,-14744,832,20670,2149,-7238
3652,-6428,12828,1859,7,2192
-112,-10964,17172,7881,567,898
-1188,-8164,12616,1123,-9147,2318
968,-13060,18368,-4185,845,1506
1284,-8328,13540,-1172,-5437,-2550
1656,-11848,12312,-12221,-3347,-1187
-4312,-21040,11752,1504,6844,-3692
-5360,-26972,-780,2664,115,-5315
3688,-14304,5940,14207,4106,-3707
1304,-5984,15228,1909,3323,6404
-952,-9092,17596,9592,1747,1553
444,-8432,14300,1138,-6210,360
576,-10352,15712,-5236,1805,-246
1828,-7388,16984,-1468,-631,-6758
3300,-6592,12104,-11965,-1115,1833
5708,-8632,18016,-23303,-3041,-9947
-940,-19716,-15436,-9849,-1177,3191
-2684,-23928,-4708,-276,-142,7585
3940,-24864,14444,11547,13090,-4771
2540,-8872,18100,7792,2657,-2135
4904,-5912,20784,8206,-471,363
3252,-8180,14860,-3210,5074,-2252
3456,-8652,15416,-6155,-1741,683
2940,-11768,14072,-10005,1415,-932
3564,-12968,10496,-11962,-3202,-1048
3964,-13016,5900,-16500,-3012,-2149
2536,-14324,-8532,-13023,-64,9631
-4128,-20944,-13960,1447,-821,4628
3692,-23792,-1996,8180,4669,6972
1676,-15120,-2964,-2882,5979,-12352
1072,-7152,10976,10488,-1113,4530
2508,-12988,22024,9826,5177,477
2508,-5628,12036,993,-2386,-396
1096,-12764,18092,-2590,1396,2114
1632,-10632,14104,-2688,1584,-4522
4588,-9832,13652,-3958,3205,-2585
4048,-11052,16952,-11700,-6510,-883
4188,-11016,10584,-14494,-3974,-114
1256,-18072,-964,-11319,2992,271
536,-18668,-11968,-3316,-4082,5462
784,-21136,36,1641,12432,696
528,-17136,-4240,2465,3578,-11138
5100,-9012,19028,7840,7065,4564
2808,-11124,15332,12796,-1242,2464
2156,-7716,17364,1849,-2275,483
2200,-10348,15616,-4412,3662,860
1544,-11168,15656,-8853,447,-2823
2932,-11684,12464,-12692,-1132,-3554
-2556,-13504,-676,-19944,-2666,5222
-220,-19956,-7468,-5067,-514,8796
-2632,-22548,-3568,6143,-1692,5932
2628,-21108,-1336,4148,4556,8852
-620,-14412,1748,1467,6986,-11428
172,-10896,-3676,-464,6762,-8603
1700,-3988,11112,-2521,-508,-1454
2888,-8576,20992,-1718,-152,-3505
2148,-6644,16384,-5139,2220,-410
2744,-13176,10812,-23523,-2043,2697
4912,-10044,-676,-22534,-5807,2288
1800,-20356,1332,2659,11874,2466
380,-25572,-1732,-2356,9186,9688
-2336,-18580,-2556,-1066,9609,-6693
-164,-10636,-3712,4809,9771,-6713
-804,-10724,1124,568,17833,-7808
5376,-15176,7368,-976,7209,1134
3740,-14960,7384,41,654,1824
2028,-9392,14420,-6319,1515,-211
1696,-10396,15412,-8252,-2944,-1935
3224,-12680,15928,-16537,-363,389
1616,-13128,6244,-16597,-6540,-42
2896,-16744,-2920,-12145,3307,3586
-3692,-17516,-14324,1970,212,4120
176,-32272,-4092,880,-8721,64
1048,-14808,-1456,2187,3195,-9478
504,-9028,-1472,-483,14300,-5868
5720,-12536,3232,-1273,11864,-8945
3752,-11900,8864,-4064,15137,207
4732,-16496,4492,140,-5303,6995
2140,-11420,15744,-4225,-215,-778
2016,-10788,14932,-7006,930,-2903
6184,-9776,13336,-14462,-5103,-10965
3772,-13700,4452,-20737,-6832,5512
3500,-14252,-3828,-12616,-2594,6091
-328,-20632,-9712,4099,-2352,8564
2012,-25696,380,10162,7105,3385
488,-13500,-4452,-3062,2947,-11746
-1160,-5908,-344,6611,24916,-5435
1628,-11832,8936,4933,20492,-2539
2808,-14436,9268,-3315,43,682
2784,-15672,8128,-5487,298,922
5468,-13060,10064,-3442,9270,-3383
3384,-6408,16192,-14956,-21578,2619
5628,-10088,5484,-10759,-11083,4796
-300,-17584,-3792,-10218,-3988,7637
-732,-17504,-7468,-2527,-8559,9373
-3488,-29836,4260,-6631,13482,3192
-708,-17228,-1632,-132,4509,-13213
504,-8264,-2380,5538,8299,-10668
60,-7480,-1988,6984,22854,4103
1976,-16796,21312,-3998,11264,-1681
1332,-15444,5196,710,-1284,2717
488,-15992,6852,-1353,-7647,533
1204,-11312,13288,-7977,-1641,259
3864,-13108,13376,-12617,-3648,-2836
3336,-11232,6208,-12058,-5748,5261
872,-13164,-5732,-14365,2715,1497
-5224,-16196,-14900,-1955,-4783,5083
-1152,-22300,2304,2414,15218,-10896
-680,-16740,-5912,3191,-1360,-7233
-180,-11228,-9864,4363,6602,-7918
-1196,-9388,5072,4003,27196,-6044
2096,-14824,10492,-739,8084,847
2812,-14956,7992,-4179,6205,-2277
2040,-15032,5188,-5285,3107,505
3644,-8612,17836,-4124,868,-5609
3200,-4712,11296,-11057,-8666,-760
5104,-9816,7716,-15637,-10508,-10975
-3412,-18624,-9916,-2328,-66,9938
-2000,-25884,-2000,-3070,14896,7345
3172,-25096,-8472,-9909,7078,-5860
244,-11508,-3612,-341,5227,-6775
2696,-8272,1644,3747,20004,279
3284,-11620,6684,-962,10074,-968
3288,-15652,8704,-1487,4012,4578
2928,-15836,4232,343,-5328,3581
680,-13596,8452,619,-12499,2994
-236,-12776,5048,-5302,-15579,5125
-428,-12652,-6588,-4512,-8700,6451
-196,-19736,656,-1450,5211,2865
-1504,-16564,-444,898,9047,-5342
1032,-17016,-2932,8351,-1850,-5051
1936,-18216,-916,11984,6192,-7122
2576,-12972,9360,9572,1844,2625
448,-10872,10988,6419,508,2507
1280,-9924,20740,2912,2536,-2822
712,-10112,12688,-977,-1171,643
1004,-11044,13048,-4009,2513,-2520
2208,-13788,15176,-4609,-2574,-5081
-1988,-15240,-5644,-1030,13678,2619
-3664,-19116,-6592,-3239,-3280,191
-2500,-19524,-2300,-953,-7306,68
-1152,-11760,-9408,5250,9189,-11865
924,-16684,-2704,13590,3786,-5188
748,-13748,16140,7526,-1241,3573
852,-12668,12104,9049,6565,-4427
580,-11152,13808,4377,2005,-1763
300,-10032,14928,-2196,2116,-4199
1024,-10120,13344,-4993,-3186,376
704,-15500,16420,-1928,1219,-1621
1032,-6124,8748,-3754,-14983,7829
-5404,-15364,-13136,-2549,-5012,8261
-200,-19248,-1004,-4367,1098,5104
-3616,-19996,-976,-1936,-335,-3251
-3360,-17832,-6992,3091,4332,-5343
776,-15388,-6216,10077,314,-4187
5348,-18348,4472,13436,2289,-2303
-1304,-12000,7228,5860,2,4376
432,-11652,16524,11143,1191,-1668
872,-8472,13716,3106,-266,1711
1012,-11964,16584,-2630,-208,1079
716,-10888,13160,-6040,552,-1168
1520,-12172,19940,-13429,929,-1919
-3992,-10996,-2408,-5460,-23891,11300
476,-14660,-2040,-3224,14299,6548
-3692,-18440,-1604,-5963,-1527,681
-4904,-20092,-3996,3800,-378,-5550
-4824,-17960,-6668,7796,-6901,-7009
5088,-17532,8196,13394,6500,-5790
1276,-7752,8292,5945,-351,7134
1512,-9624,17112,10532,164,-257
-40,-8664,17260,1723,-534,1880
1368,-10704,14800,-2653,748,-309
-128,-10812,15296,-6009,2837,-3366
1484,-10676,14856,-14168,-9190,-1382
-2204,-15628,-3984,-6180,8245,6415
-3528,-17764,-1988,-6396,-970,-3262
-4752,-17184,-4032,-4635,-264,-3249
-2152,-16216,-7080,6754,1401,-5591
4,-15444,-4688,13654,-976,-2203
5176,-17272,6396,16172,5519,-3979
228,-9072,9908,4545,2982,6295
120,-10096,20352,6937,-6,874
540,-9144,13380,1303,-3904,1530
680,-12896,16608,-4415,924,-1421
1192,-11272,14120,-9910,-811,-1783
2692,-10856,13236,-18025,-6399,-2105
-3624,-15412,-7776,-1555,-6196,8118
-4624,-20540,352,-5582,-193,8536
-2896,-17944,-3816,-3406,-3230,-4056
-6280,-20488,-6148,4953,7468,-8721
-332,-14988,-2820,13459,1718,-5248
2840,-16328,2532,16147,5072,-5806
3180,-8304,9356,3924,-5516,2382
3088,-7700,21188,13284,-2738,555
472,-8260,17964,2433,5596,-605
1144,-10992,12048,-6531,4033,-27
520,-12032,16452,-6023,1474,-2890
