ax,ay,az,gx,gy,gz
8528,-14376,1208,-11928,352,-7033
-472,-8928,6648,386,24761,-5254
1332,-25852,10976,20701,-31212,23411
3972,-21776,3216,27271,-30265,10693
3636,-16232,7924,-29733,28551,-14737
4468,-21068,5672,-25316,10163,-19572
1980,320,13844,-5755,19370,-9179
3024,-23176,11416,18855,-23559,28289
6328,-15356,2148,14769,-16885,2503
4792,-14448,8696,-11668,9431,1223
644,-9916,19456,2305,-11189,10812
7696,-16352,6844,4343,-14248,-6326
892,-9740,20816,-1491,4598,-906
7412,-15644,8064,3268,-9946,5546
4280,-16960,10444,-23427,13685,-15828
1268,-24804,-3120,-24977,32767,-15694
6436,-8704,9052,5232,-23033,11237
9116,-17816,-3032,10743,12686,7049
2884,-14920,12868,17253,-16774,21610
8836,-18508,96,-2151,6816,-2108
7880,-16804,9336,-25979,352,-29217
5396,-8508,16476,-11951,11975,-8427
7708,-14400,-712,6398,-7937,15889
4624,-17544,5280,3285,1303,7556
4328,-18660,2612,4356,-9919,4029
4940,-17660,-960,-11699,13284,-11715
5776,-13172,-5068,-4225,4549,-9951
15936,-9392,11752,-18825,14843,-3584
5732,-17892,-1196,4789,-1593,6705
3904,-11904,8344,16863,1489,10352
3112,-14116,11360,19051,-28259,10371
4068,-11340,15540,17540,-15806,15827
5144,-11348,16732,-19935,10918,-1032
4884,-24804,4924,-31479,7719,-21080
4864,-11368,268,-21769,13239,-15428
8120,-13612,13204,-2883,6853,5161
6828,-16208,-960,11829,-18817,7192
5148,-19320,6296,13323,-6767,14637
10124,-17576,4132,6248,-6393,8416
2976,-7492,-780,-2310,24968,-11600
6064,-9668,23164,-5355,-7545,-5878
5336,-17296,9812,3280,-7637,14170
4808,-16112,3972,8062,-8105,8994
6008,-13324,9764,490,-811,2956
6580,-18108,3312,12389,-6824,2706
8260,-13180,-1568,-15451,11333,-10592
9240,-15272,12376,-19249,14983,-17999
6364,-14448,14756,3328,-4070,6072
9828,-19260,-9476,20762,-21496,1984
5004,-16768,5444,-23690,29722,-15879
