ax,ay,az,gx,gy,gz
-76,-12452,-4176,-569,-5734,-2540
4568,-16532,-428,1019,-311,2594
3328,-15360,-752,-1850,-8870,0
2712,-17216,-824,2158,-13217,-3315
-340,-16888,-64,615,-15026,-2160
-288,-14992,1748,-623,-14078,-3487
1356,-17696,236,2011,-10446,1298
-1672,-15696,-1380,-787,-14247,3015
-2960,-18552,508,-1638,-7021,335
-2704,-16548,-1736,-1690,-4490,-1996
-1664,-15780,-960,-2587,100,-2069
1956,-15688,-1616,-1776,326,1140
2688,-18900,-3132,759,-2829,-5
876,-15328,-1296,-1203,-10793,-2288
316,-16136,-1540,-2376,-13198,-3051
536,-15704,-2444,938,-9944,-3576
-48,-18860,-2412,2057,-11007,-2677
-3372,-14220,2116,-1242,-15166,-5228
932,-14432,116,869,-5606,-1103
944,-16188,-300,881,-7819,2609
-672,-20492,-624,-3085,-1306,-318
-1896,-12380,-4664,-1710,-8048,-4332
3508,-15528,-504,1137,5065,1077
4360,-16096,-384,-1588,-1885,438
3404,-15244,-1996,-1737,-6770,-467
2256,-18496,-1740,2656,-6008,264
-3476,-15820,3368,-737,-11637,-5598
1424,-15612,-300,2053,666,46
2168,-14652,924,-1080,-3970,4154
1280,-17692,1760,-3184,5274,2785
1328,-19580,-1076,-2978,1795,738
-268,-13224,-5564,1831,-3575,-2857
1860,-17420,-1724,-1728,3493,-350
3516,-14704,-3296,-2224,-1250,-916
3344,-14968,-3864,-609,4085,-453
764,-14480,1132,-462,4395,1384
-376,-19048,-1284,743,-15044,-2342
2376,-13984,1760,1448,7142,1135
1760,-17000,-852,-2346,8438,1561
2204,-19904,-84,-6593,6828,203
-1288,-13436,-4744,-2807,8040,219
3960,-16888,-768,1997,337,2911
4020,-14824,-1592,525,833,-1342
3300,-15556,-1540,-67,-2827,-259
2288,-18700,312,3343,1194,823
-2384,-16468,656,552,-5173,-3858
1324,-16368,-436,433,5001,1940
1740,-16032,-360,-1143,1117,1229
2852,-17404,3028,-2477,4936,-138
2644,-20320,-2332,-835,7129,-1809
-1352,-12980,-3176,-173,-5507,-2971
3480,-16748,-2684,1403,-226,2335
4104,-15888,2776,-1761,-5089,316
1864,-16960,-1932,-1765,-11879,-663
2136,-16396,2064,2615,-8524,-3471
1284,-15188,-60,1847,-13960,-5654
3036,-15236,884,3690,-10676,-735
1756,-17056,1596,2140,-10511,4900
-1072,-17304,2028,-2033,-12826,4390
-3560,-18408,-3328,-1666,-8543,-193
-1360,-15540,-112,-1210,-5405,-3847
852,-15980,1796,-780,-6805,-1203
1704,-16060,-1460,1743,-6215,-1298
2688,-17772,-2756,-507,-9605,-3731
2720,-15520,344,-305,-14476,-2564
1136,-15724,-1448,-1135,-15155,-45
2104,-15816,-3724,941,-6295,-1085
728,-20812,-4680,2525,-174,7
-672,-15476,1216,-57,3198,-2390
1656,-15748,-2360,-1161,7824,1825
