ax,ay,az,gx,gy,gz
1572,-12204,5896,4251,-19711,13837
1656,-12796,272,1572,-9973,1314
3016,-13824,7028,4138,7491,-2567
1628,-13132,1668,-1517,-9790,8411
-80,-1520,520,-8183,2902,8641
-6028,-30016,-1636,-3368,11474,-1920
-6564,-25972,-14604,2621,-1608,-8513
648,-20944,-14580,20279,-12010,-13237
8628,2128,9096,26297,375,-13479
13408,-11604,3588,5807,6876,-3535
9680,-4940,15328,-7437,-13226,2827
11868,-9808,12332,-12028,16626,2089
9496,-12952,6036,-22350,-19348,5327
-2980,-21172,-18764,-797,-7742,15679
12036,-6120,8512,-10073,-3195,2592
10400,-5988,11576,-12281,10277,5573
-1116,-22860,7424,-32768,-16441,11566
-3956,-28528,-5220,7243,5842,11967
-12808,-29492,-6524,8375,-3170,-14305
-1360,-11224,-884,1538,18476,-9930
-8,-6216,5284,223,3827,-7938
3888,-6592,-772,-3425,1114,2652
2656,-12644,4276,93,-1272,5560
2516,-11848,10532,2667,640,8922
-5592,-4824,-10232,662,2307,5140
-3384,-24012,4504,-4702,3403,-6809
4400,-10724,9540,1678,-17862,12278
-4660,-132,-6340,-5632,-9539,4933
-12728,-20980,-8312,-2451,13035,-3423
-15764,-21032,-15472,-13201,-15023,-30076
7924,-19416,-4312,13439,-10109,-14438
5376,-7780,10680,12461,-238,-6950
12072,-10432,10372,47,3090,-6075
11216,-4408,16796,-6358,1550,1575
8532,-6036,13888,-10974,-3162,8603
7100,-16664,-3448,-17910,-5277,10475
-2564,-28476,7184,4919,1017,2272
-3872,-24600,3080,92,-4313,335
10600,-9484,13140,-32768,-6190,17235
-2584,-19660,-9324,119,15122,8374
-4720,-21844,-6264,12198,4401,5331
-6472,-19188,644,-5436,579,4280
-1644,-11072,-2512,-3669,17188,-2264
3424,-1360,4280,566,10589,-5052
1028,-23812,12,2795,-16950,9175
1684,-9164,3316,-717,117,4081
-5880,1912,-6764,-5366,-14484,4681
-7844,-26164,-4712,15770,7094,12300
-9676,-13464,-27608,5516,10157,-15487
12608,-27948,7596,23918,6402,-795
-17452,-32768,-23088,713,-6991,-2691
5304,-23128,3684,13414,-4794,-7730
6292,-6868,4548,18497,-4136,-19121
12352,-9308,12852,6012,6552,-1683
9552,-3572,13180,-7066,-7135,2839
9896,-9168,13592,-15994,3804,7309
4232,-19652,-18016,-19085,-17952,9788
-5308,-22296,-5824,7712,-1534,-1064
-3264,-23648,136,2426,8544,109
-1008,-13608,3436,-5280,6962,2615
128,-5696,2568,-1793,3198,-2715
-456,-15880,5232,-3048,-18522,2669
-5260,-22776,-1964,12910,-2708,-702
-4392,-14492,-4552,-4316,15739,-1395
1128,-5640,1952,308,10138,732
3084,-15748,6216,1692,-1046,-679
1276,-10280,980,-4770,-14694,1649
3436,252,5444,-5683,-4242,8318
-16596,-18288,-7248,-8866,-1050,-654
-15148,-17532,4376,-26373,-4359,-32768
3308,-24108,-5392,24690,-1382,-3854
1736,-8864,1396,21712,-23242,-10436
11724,-12192,12988,11059,11828,-11601
10740,-7384,9500,-4638,-9048,3082
4880,-6384,-1528,21490,-15242,-8575
12776,-11628,21472,7551,12823,-5570
9976,-3712,7192,-7287,-8120,5587
8472,-11236,13744,-12404,10344,6662
3824,-16600,5544,-22111,15433,12040
-4336,-30060,2280,1207,-6808,9154
-2636,-21436,-764,8975,3993,-10617
1284,-12864,5264,3657,-9310,4794
-1036,-8752,3560,-9845,18948,-2428
1912,-6288,2488,-3486,562,-1693
4864,-14592,6768,4062,-8020,7173
3552,-8100,4036,-189,-1011,6709
-1476,-8896,5348,-6175,10734,3918
2112,-756,1512,-1318,21175,-9613
12,-16440,7652,2443,-23311,13743
4152,-13644,12220,5218,-688,2094
-3980,624,-9684,-389,-843,2205
-17660,-28672,-10804,-18473,17106,-1464
-13780,-29816,-9356,4596,-10000,-17475
16296,-25112,11184,24408,2287,-6860
7740,-360,7580,12408,-10702,-11244
13852,-8212,19332,6004,2539,595
12272,-3440,9916,-6595,-2425,3345
9608,-7080,16776,-14175,6445,4915
3748,-10456,8180,15155,-10912,-49
11932,-13820,8756,10932,7195,-10172
9748,-4820,13208,-2440,-6216,-1147
13748,-13608,13392,-12418,7047,3548
9696,-10524,9452,-17673,-18938,-601
944,-18044,-10092,-7015,-16618,12120
-1572,-22552,-1144,5321,3697,2757
-632,-18300,-6192,12063,-5370,2320
992,-11904,-1944,3594,16440,-364
-1972,-7844,7992,-7327,18411,-944
-1272,-21772,3400,-3112,-3338,-1613
396,-13776,-1732,-2695,-397,1424
-884,-14668,5940,-6379,32767,11150
-1480,-5656,-3272,-2124,-10359,4774
2612,-16756,17564,-4394,14549,-5978
2460,-14380,-4608,5126,-7373,1644
3000,-11848,6560,1397,-20233,11834
