ax, ay, az, gx, gy, gz, temp
-540,1244,16012,381,-806,-242,268438473
-460,1312,15728,547,-1493,25,268438473
-604,1244,15856,851,-2436,237,268438473
-528,1588,16124,551,-2745,163,268438473
-480,1376,15704,327,-3376,-8,268438473
-424,1424,15928,514,-4167,-9,268438473
-112,1452,16144,984,-5210,14,268438473
488,1448,16216,1228,-6087,-96,268438473
740,1684,16464,1341,-8793,-329,268438473
1352,2028,15788,738,-9995,-254,268438473
2196,1704,15820,-323,-8677,-92,268438473
2460,1748,16224,-775,-9455,-281,268438473
2768,1708,15976,-760,-9973,-616,268438473
2804,1324,15936,-310,-13300,-531,268438473
3628,1856,14444,-369,-13611,526,268438473
4692,1416,15368,-711,-15718,1528,268438473
6224,1444,14428,-1376,-14958,1459,268438473
6916,1256,13844,-1912,-12062,-284,268438473
7180,1304,14276,-1254,-11722,-2057,268438473
7836,1600,14080,-1267,-13275,-1743,268438473
8348,1264,13696,-1750,-14606,-790,268438473
9248,976,13276,-1560,-14569,-724,268438473
9384,808,13320,-856,-14658,-184,268438473
11080,1012,13348,-483,-15414,-1198,268438473
11632,1532,13324,-369,-15826,-2581,268438473
12256,1804,12904,-1186,-18462,-3024,268438473
14020,1416,11960,-1843,-17349,-2532,268438473
13484,1148,10312,-1571,-17000,-608,268438473
12516,716,9212,-999,-16941,1824,268438473
13256,584,8380,-521,-18508,2856,268438473
14912,1060,8308,-80,-16434,921,268438473
15060,1416,7144,146,-13686,-704,268438473
14060,1240,7476,290,-13355,-777,268438473
16200,1992,7124,121,-13699,1080,268438473
16772,1004,5376,196,-13824,2751,268438473
15372,760,4396,183,-13269,2039,268438473
16032,916,4072,-26,-13791,910,268438473
15296,736,3420,-725,-13323,774,268438473
15836,408,1832,-1167,-14529,260,268438473
16404,700,1364,-702,-16354,420,268438473
16316,1196,1428,-672,-16329,648,268438473
16316,664,-112,-2034,-17024,186,268438473
17084,976,-1900,-2970,-16544,-887,268438473
17400,40,-2712,-2976,-15650,-1652,268438473
15792,452,-2376,-912,-16611,-179,268438473
17196,484,-3368,296,-18727,1474,268438473
17264,580,-5232,-787,-15750,-601,268438473
17096,608,-5516,-3285,-14780,-2386,268438473
16016,964,-6264,-2279,-13937,-778,268438473
15220,84,-6964,-594,-13974,382,268438473
15608,804,-7920,959,-15184,582,268438473
15472,1324,-7852,1336,-13091,-133,268438473
15224,1804,-8708,-30,-13251,-353,268438473
14512,304,-10064,-1499,-13094,578,268438473
12464,168,-10588,924,-14353,1012,268438473
13236,780,-11384,2511,-13779,411,268438473
12524,1268,-11288,2115,-12974,-819,268438473
13216,1760,-11892,1442,-12717,-874,268438473
13752,404,-13108,1478,-11652,98,268438473
12552,348,-13848,1687,-11321,776,268438473
11980,56,-13432,2625,-10610,821,268438473
10952,676,-13472,1894,-11375,1113,268438473
11036,436,-14340,-624,-10551,440,268438473
12012,296,-15256,-879,-8122,-858,268438473
11552,824,-14896,773,-5668,-72,268438473
9968,1108,-13896,1662,-2480,1287,268438473
10104,-332,-14924,1230,-411,300,268438473
10132,280,-15140,210,4752,-1176,268438473
10608,-548,-14876,298,7928,-926,268438473
9980,180,-14300,865,11564,-646,268438473
11236,500,-14012,2149,14045,-1334,268438473
11924,224,-12828,3129,17699,-1385,268438473
11304,672,-11932,3030,19952,-391,268438473
12200,200,-11224,2574,18611,-472,268438473
13376,480,-10096,2807,19984,-1057,268438473
12948,496,-9772,2216,20534,-1051,268438473
17660,-820,-9124,1869,20730,-648,268438473
15548,316,-7784,2229,22042,277,268438473
18184,-124,-6512,3642,22012,-150,268438473
18672,-288,-6556,3369,25109,-758,268438473
18156,-1476,-5780,2987,25515,-1678,268438473
16236,-1328,-4140,3261,25508,-878,268438473
15060,-376,-3204,4064,22713,-1034,268438473
18000,-760,-1528,4077,23208,-3484,268438473
18648,64,1032,3756,27012,-4025,268438473
15748,836,2004,3186,27632,-2576,268438473
14980,816,3084,1353,23583,-829,268438473
15888,620,4500,891,21928,-847,268438473
15140,868,5796,699,24134,-664,268438473
13552,1272,6492,571,23151,-967,268438473
13128,-80,6984,385,20621,-2070,268438473
13040,72,8976,648,20388,-1912,268438473
12376,968,9840,523,21211,-1304,268438473
11040,1788,10724,-193,21180,-1780,268438473
10680,1520,11992,-1247,22368,-3556,268438473
9484,1560,13664,-1376,21613,-4107,268438473
8152,1572,15284,-1210,21176,-3261,268438473
7656,1740,15488,-595,17513,-2100,268438473
8152,1484,15260,-1159,16019,-1923,268438473
7920,1148,15012,-1726,17824,-2756,268438473
5624,1444,15424,-1657,18453,-2315,268438473
4132,1140,15908,-1268,18216,-2320,268438473
3256,1396,16336,-504,18390,-2217,268438473
2916,1592,16580,493,19898,-2563,268438473
1064,1288,16184,451,21458,-2502,268438473
-264,1004,16248,-653,20135,-1868,268438473
-1052,1440,16568,-307,20616,-2726,268438473
-1528,1276,16124,-543,23071,-4229,268438473
-3608,924,15096,-428,23811,-3973,268438473
-5400,1472,14240,-264,20998,-2410,268438473
-5852,568,14392,-902,17044,-3109,268438473
-5124,664,14900,-993,16265,-3190,268438473
-5836,468,15288,-262,19270,-3527,268438473
-8188,-972,13792,-645,20191,-2485,268438473
-8856,232,12764,-987,17433,-515,268438473
-9704,1064,13536,127,17873,-639,268438473
-10420,2680,13272,-675,19886,-2082,268438473
-11752,108,11300,-2925,17007,-3417,268438473
-10928,-436,10460,-3589,14160,-2169,268438473
-9232,-644,10700,-3231,16338,-1229,268438473
-10584,-592,9328,-3577,20471,-535,268438473
-12924,-504,7280,-3752,20472,394,268438473
-13812,-924,6052,-3753,18412,-125,268438473
-14352,-8,4700,-3737,16344,-689,268438473
-14856,-1116,4596,-3447,14855,-1178,268438473
-14976,-1304,3892,-3474,15010,-1779,268438473
-15284,-1052,2628,-3139,13025,-1914,268438473
-15144,-1576,2080,-2685,12994,-3087,268438473
-14164,-1732,2032,-2161,12648,-2467,268438473
-15648,-1880,916,-1546,11986,-1742,268438473
-15332,-2244,964,-726,9994,-1248,268438473
-13728,-1796,1188,-532,11440,-1212,268438473
-16508,-1416,-432,-626,12905,-225,268438473
-17300,-2036,-1744,-513,9336,-185,268438473
-15220,-1848,-2300,-379,7579,-77,268438473
-14908,-1384,-2552,-915,6432,1330,268438473
-16652,-1184,-2208,-89,7748,620,268438473
-16568,-1404,-2740,362,7769,-1839,268438473
-15024,-1916,-2884,-1041,3751,-1975,268438473
-14484,-2728,-3872,-1231,2512,-1042,268438473
-14460,-2644,-3744,-334,393,736,268438473
-15720,-1996,-3812,-386,-908,908,268438473
-16244,-2632,-5144,-1211,-4555,772,268438473
-15556,-2968,-5336,-1053,-10497,2211,268438473
-15032,-2152,-4580,-185,-15858,3913,268438473
-16756,-1132,-3468,-1675,-23403,5427,268438473
-17488,-1816,-2392,-3351,-32000,7266,268438473
-15152,-112,476,-840,-32768,6123,268438473
-15024,44,3872,2966,-23436,2821,268438473
