ax, ay, az, gx, gy, gz, temp
-12524,-136,9220,-434,-22544,994,268438473
-10516,-192,9828,-1089,-21528,849,268438473
-11260,-1104,10372,1133,-20198,2027,268438473
-10928,-496,12204,3232,-21636,2692,268438473
-9632,360,13004,2458,-22945,2130,268438473
-7036,836,12824,1410,-22457,289,268438473
-6296,-756,13460,2592,-19534,430,268438473
-5696,936,14344,3671,-16519,-85,268438473
-7104,1760,15732,3911,-17002,213,268438473
-6264,2112,17056,2821,-21055,434,268438473
-2140,2244,16484,400,-20064,-493,268438473
-484,1316,15284,-335,-15130,-48,268438473
-1132,1020,14840,458,-13003,827,268438473
-2720,1020,15088,510,-16785,2239,268438473
-908,1244,15384,406,-18119,1702,268438473
872,1380,15704,478,-16167,1142,268438473
1312,1436,15632,866,-14741,1240,268438473
516,1584,15496,1951,-15685,1194,268438473
2432,1576,16124,1674,-18383,1379,268438473
4900,1492,14644,401,-18324,1625,268438473
5220,1392,14164,1162,-13841,675,268438473
4832,2316,16140,2235,-12636,1435,268438473
5968,2128,15324,1298,-19165,4197,268438473
8224,1744,15224,1028,-18015,4290,268438473
7240,1740,13944,786,-17334,2690,268438473
7660,1528,13704,1425,-16932,395,268438473
9392,2204,14240,2596,-15885,23,268438473
9904,2724,13060,1352,-15786,2371,268438473
10172,1836,11500,8,-16153,2633,268438473
11376,1236,11204,1004,-18138,1228,268438473
13180,1956,10792,1886,-17874,352,268438473
13384,2108,10176,1447,-17916,370,268438473
12672,1660,9080,1706,-18451,171,268438473
11940,2020,8576,2141,-18677,-1541,268438473
14992,1728,7712,1534,-23212,-2589,268438473
17588,1968,5144,677,-18136,-2760,268438473
15640,2788,4916,183,-11089,-3618,268438473
15060,3112,5804,318,-12372,-4297,268438473
16052,3036,5076,1741,-14344,-2198,268438473
16456,3060,3828,2839,-13178,-16,268438473
15908,2676,2572,2372,-14060,172,268438473
16168,2644,1724,2196,-14240,604,268438473
16512,2904,1596,2987,-13888,892,268438473
15988,3104,1236,3680,-13729,1809,268438473
15740,2740,164,3638,-13161,1394,268438473
16340,2932,-1120,3308,-12283,633,268438473
17288,3364,-1580,1752,-8784,158,268438473
16296,2928,-1264,183,-8721,-106,268438473
16876,2824,-1892,1326,-10219,502,268438473
16976,3408,-1700,2204,-10901,1411,268438473
16872,2756,-2380,1972,-10408,2260,268438473
17036,2168,-3484,1802,-9250,1651,268438473
17196,1844,-4628,2111,-5517,1556,268438473
17572,1680,-5656,2248,-3456,1478,268438473
16928,1988,-5024,514,99,723,268438473
16812,1736,-4944,-619,2136,-88,268438473
17108,2324,-4216,-104,4637,-157,268438473
17060,2248,-3708,585,7512,385,268438473
17368,2148,-2928,247,10672,818,268438473
17048,2048,-2712,-291,13264,751,268438473
17332,1884,-1656,-1225,14570,797,268438473
15652,1744,-1848,-1745,16312,1623,268438473
17628,1908,-252,-2322,16394,1607,268438473
18428,2008,1772,-739,23732,2073,268438473
14592,2296,-20,-3334,21960,2205,268438473
16148,832,2744,-491,15775,-695,268438473
17668,296,3304,2027,18279,577,268438473
15740,1892,5980,1609,21315,2617,268438473
14096,1624,7404,-563,19574,2196,268438473
15408,1512,7976,-1740,20150,2079,268438473
14736,1096,8308,-1396,23473,1605,268438473
13148,1324,8476,-763,21998,1293,268438473
12244,528,10080,-792,19499,530,268438473
11712,304,10400,-68,19076,-385,268438473
10560,136,10600,422,23315,-1445,268438473
9556,1544,9464,-318,22019,-2623,268438473
9860,1776,12868,584,16574,-2756,268438473
9280,2224,9412,-14,18574,-1415,268438473
7516,1064,13524,801,16916,-2135,268438473
5796,788,14904,190,18269,-2263,268438473
5168,1056,17536,-1654,21947,-2939,268438473
5988,1624,15916,-1085,12694,-1059,268438473
5408,1324,16080,-2336,14580,-1159,268438473
3872,1792,16336,-3340,15878,-3145,268438473
3368,1056,16912,-3357,15672,-3553,268438473
2540,616,15540,-3820,16197,-4729,268438473
1148,612,15592,-2280,16468,-5324,268438473
704,1004,16860,-1445,14770,-4613,268438473
124,780,16132,-2713,13803,-3413,268438473
188,748,15640,-2497,15515,-3925,268438473
-1160,44,15552,-1193,15084,-3064,268438473
-1764,-236,15936,-2590,18048,-1711,268438473
-3036,-84,15448,-3942,20938,-2063,268438473
-4532,-72,14960,-4238,21942,-2325,268438473
-6064,-1520,14464,-1668,20167,-549,268438473
-7140,-808,13268,876,13979,549,268438473
-7984,-192,14116,1030,12441,-456,268438473
-8632,-160,14108,555,12946,211,268438473
-8104,-252,13552,131,12510,383,268438473
-9360,-704,13092,633,11151,383,268438473
-9976,-300,12160,323,12744,127,268438473
-10028,-216,11964,-755,13552,-515,268438473
-10372,-572,11192,-548,11300,-173,268438473
-11260,-200,11008,718,9743,-200,268438473
-11884,-52,11148,311,10324,-513,268438473
-11896,252,10920,-2227,12587,-1767,268438473
-12148,-556,9428,-3209,13610,-3026,268438473
-12056,-1440,8384,-1189,11816,-1950,268438473
-12848,-704,8152,-536,12012,-1025,268438473
-14060,-1220,7948,-700,10756,-2535,268438473
-13580,-1420,7932,-437,9273,-2612,268438473
-13600,-940,7224,-722,8234,-2696,268438473
-13988,-1132,6704,-837,8597,-3398,268438473
-14220,-1352,6136,-523,8800,-3863,268438473
-14580,-1764,5488,-459,8922,-4218,268438473
-14388,-2328,5160,-468,8288,-3020,268438473
-14416,-2580,4600,-438,8498,-1571,268438473
