ax, ay, az, gx, gy, gz, temp
-188,-3692,14948,-397,5777,-553,268438473
-656,-3852,14616,-220,5121,-45,268438473
-1464,-3028,15864,2386,6777,-423,268438473
-528,-3600,16036,2133,4777,-2548,268438473
-1016,-3412,16432,842,4574,-2172,268438473
-1432,-3272,15820,274,3575,-1889,268438473
-1180,-3636,15272,493,3207,-1954,268438473
-1072,-3468,15444,980,2394,-1282,268438473
-1236,-3388,15604,1052,2060,-629,268438473
-1636,-3236,16080,381,1394,-392,268438473
-1912,-3304,15736,-137,1036,-393,268438473
-1964,-3316,15372,92,1258,-389,268438473
-2092,-3380,15320,640,674,-129,268438473
-2000,-3396,14996,1368,816,108,268438473
-1996,-3108,15268,1620,-51,497,268438473
-2180,-2932,15552,1909,-354,746,268438473
-2352,-2832,15728,2050,-506,641,268438473
-2276,-2756,16020,2087,-414,266,268438473
-2272,-2560,16080,1974,-188,27,268438473
-2096,-2508,16140,1327,-185,-53,268438473
-2104,-2460,16092,635,-182,-3,268438473
-2168,-2468,15832,4,-409,118,268438473
-2224,-2456,15764,-208,-731,64,268438473
-2100,-2524,15736,-137,-907,74,268438473
-1976,-2492,15880,45,-1005,126,268438473
-1928,-2536,15944,232,-633,50,268438473
-1800,-2456,15984,35,-562,80,268438473
-1860,-2604,15848,170,-45,32,268438473
-1932,-2476,15712,124,-56,8,268438473
-1976,-2500,15744,150,-256,135,268438473
-1944,-2508,15684,196,-262,129,268438473
-2024,-2460,15564,236,-510,117,268438473
-1952,-2412,15788,372,-299,68,268438473
-1884,-2428,15808,319,-292,47,268438473
-1828,-2388,15928,183,-291,123,268438473
-1956,-2328,15916,127,-330,125,268438473
-2028,-2316,15688,-32,-431,95,268438473
-1992,-2292,15736,-132,-351,-23,268438473
-1912,-2396,15928,-49,-270,-62,268438473
-1840,-2432,15820,-129,-377,9,268438473
-1928,-2344,15812,-98,-352,49,268438473
-1916,-2400,15824,-65,-190,6,268438473
-2064,-2528,16008,-154,-233,-57,268438473
-1888,-2408,15844,-357,-461,-102,268438473
-1752,-2456,15828,-314,-304,-85,268438473
-1748,-2380,15820,-102,-59,-73,268438473
-1776,-2468,15800,-22,6,-11,268438473
-1816,-2468,16016,-269,-367,61,268438473
-1928,-2412,15812,-359,-263,49,268438473
-1908,-2456,15712,-365,-282,-17,268438473
-1892,-2532,15764,-388,-388,-46,268438473
-1776,-2556,15660,-362,-502,-6,268438473
-1840,-2572,15864,-310,-396,-25,268438473
-1684,-2652,15944,-457,-293,-60,268438473
-1596,-2620,15976,-783,-741,47,268438473
-1804,-2684,15520,-746,-476,127,268438473
-1980,-2436,15936,-420,-346,-184,268438473
-1740,-2748,16140,-790,-515,-390,268438473
-1572,-2676,16352,-1358,-274,-462,268438473
-2360,-2376,15676,-1909,361,-281,268438473
-2832,-1884,16492,-2804,-1780,-496,268438473
-2240,-2396,15996,-3808,-1809,976,268438473
-1664,-2916,15608,-4349,-2117,1236,268438473
-1300,-3848,15476,-4044,-2155,923,268438473
-888,-4204,15944,-4293,-3310,194,268438473
-972,-3828,16092,-5128,-2743,-327,268438473
-1144,-3744,16124,-6395,-2498,465,268438473
-880,-4488,15472,-8125,-1369,815,268438473
-596,-4408,15300,-9557,898,1686,268438473
-792,-5660,15052,-11072,1905,1742,268438473
-860,-6108,15232,-12425,1344,2072,268438473
-952,-6536,14720,-13370,1065,2244,268438473
-1076,-6900,14348,-13688,2722,3225,268438473
-1744,-7632,13884,-13637,3359,4365,268438473
-2300,-8644,13844,-12870,2298,4216,268438473
-2680,-9056,13304,-12587,-34,3414,268438473
-2564,-9576,12208,-11852,-499,2639,268438473
-2536,-10104,12160,-11658,-720,1820,268438473
-2900,-10112,11928,-12144,-1814,1624,268438473
-2728,-10616,11736,-12790,-3407,1775,268438473
-2496,-11016,11144,-13545,-3500,1589,268438473
-2248,-11812,10628,-14172,-3770,672,268438473
-1892,-12180,9832,-15118,-4946,-386,268438473
-2000,-12808,9068,-15801,-5243,-1606,268438473
-2092,-13516,8804,-14812,-5626,-2130,268438473
-1472,-13820,7736,-13762,-5366,-2591,268438473
-928,-14424,6936,-12622,-5945,-3041,268438473
-460,-14776,6816,-12060,-6606,-3545,268438473
140,-15232,5812,-11545,-6066,-3892,268438473
276,-14716,5044,-10987,-5812,-3529,268438473
568,-14896,5092,-10618,-6691,-2240,268438473
784,-15516,4720,-10276,-5331,-1259,268438473
680,-15728,4060,-10023,-4602,-442,268438473
664,-15428,3312,-10823,-5354,-261,268438473
808,-16132,3368,-11726,-5862,-645,268438473
828,-16096,2152,-11454,-4923,-515,268438473
920,-16388,1284,-10712,-4503,12,268438473
796,-16296,832,-10143,-5110,-63,268438473
868,-16508,476,-10418,-6071,-586,268438473
1128,-16252,140,-10584,-5803,-767,268438473
980,-16328,-792,-9437,-4804,-806,268438473
996,-16560,-1192,-8831,-5125,-1267,268438473
1128,-16664,-1336,-8491,-5275,-1674,268438473
1156,-16348,-1744,-8003,-4134,-1239,268438473
988,-16356,-2416,-7620,-3589,-851,268438473
1288,-16724,-2256,-8311,-4138,-1467,268438473
1216,-16276,-2808,-9225,-4079,-1224,268438473
708,-15600,-3620,-10015,-3853,-1022,268438473
760,-15476,-4576,-10190,-3708,-1527,268438473
1276,-15660,-4968,-10342,-4322,-2128,268438473
1888,-14748,-5216,-10880,-3751,-2501,268438473
1140,-14904,-5888,-10169,-2485,-3014,268438473
920,-15080,-6984,-8970,-1724,-2815,268438473
1584,-15384,-7016,-8351,-1511,-3248,268438473
2432,-14684,-7216,-8865,-1465,-3487,268438473
2612,-14472,-8460,-9016,-1467,-3177,268438473
2176,-14080,-9412,-7642,-1613,-2817,268438473
2220,-14164,-9808,-6491,-2139,-3083,268438473
2544,-13940,-10312,-5030,-2110,-3537,268438473
2964,-14068,-9812,-5585,-4189,-4473,268438473
3448,-14092,-9248,-5548,-3064,-3704,268438473
