ax, ay, az, gx, gy, gz, temp
-3344,-3104,15856,1592,2271,2742,268438473
-3656,-3212,15428,524,2174,2869,268438473
-3968,-3156,14888,276,3426,3185,268438473
-3656,-3124,15196,-741,3628,3356,268438473
-4060,-3688,15280,-912,3965,2578,268438473
-4208,-3284,15392,1338,1602,462,268438473
-4348,-3636,14988,817,864,-298,268438473
-4144,-3460,14852,1484,-231,-126,268438473
-4000,-2736,14808,1849,239,292,268438473
-4068,-3004,14848,2215,-1786,-9,268438473
-3364,-2964,14680,2627,-4308,151,268438473
-3920,-2316,15028,2384,-5041,363,268438473
-3572,-2504,14796,1676,-4171,831,268438473
-3388,-2184,14964,2450,-3629,344,268438473
-2808,-2308,15844,2154,-5882,-74,268438473
-2396,-2052,15580,1528,-6335,-160,268438473
-1988,-2188,15800,986,-5884,486,268438473
-1976,-1992,16072,564,-7206,1114,268438473
-2340,-2088,16628,939,-8735,197,268438473
-1376,-2240,16648,870,-9707,-1534,268438473
-556,-1640,16060,946,-11264,-1928,268438473
-216,-1792,16056,-125,-10853,-1139,268438473
528,-1508,15984,-864,-10579,-1005,268438473
1004,-1700,15372,-831,-8777,-449,268438473
1648,-1760,15752,-452,-7814,-571,268438473
1756,-1832,15896,289,-10077,-1401,268438473
2448,-1828,16128,344,-11423,-1972,268438473
3112,-1764,16012,32,-11684,-1743,268438473
4004,-1780,15348,-274,-10171,-958,268438473
4628,-1716,15548,46,-11115,-319,268438473
5156,-1680,15120,446,-12276,-199,268438473
5244,-1492,15016,1715,-13797,-578,268438473
5880,-1460,15152,1901,-13172,-672,268438473
6496,-1340,15240,1627,-11569,-143,268438473
7116,-1528,14808,727,-11022,-324,268438473
7568,-1380,14420,370,-9704,-475,268438473
8292,-1168,14060,-93,-8441,-237,268438473
8880,-1096,13516,880,-8921,-159,268438473
9212,-1072,13580,1380,-9290,557,268438473
9280,-1400,13456,1963,-9820,885,268438473
9476,-1432,13576,1626,-8157,821,268438473
9608,-1268,13688,554,-7025,497,268438473
10192,-1300,13852,-222,-7308,373,268438473
10408,-1088,13128,-1083,-9468,-202,268438473
11344,-1016,12212,-1540,-8408,39,268438473
11484,-1216,11720,-1445,-7364,579,268438473
11760,-1320,11288,-1704,-7143,809,268438473
11924,-1392,10868,-1559,-6449,962,268438473
11832,-1564,10812,-1241,-7254,882,268438473
12472,-1996,10464,-1087,-8190,478,268438473
12448,-1676,10012,-1399,-6458,701,268438473
12772,-1796,9816,-1022,-5738,702,268438473
13144,-2088,9880,-1213,-6823,712,268438473
13348,-1712,9372,-1445,-7147,641,268438473
13048,-2140,9040,-952,-8081,707,268438473
13468,-1988,9012,-987,-7731,269,268438473
14000,-2024,8580,-930,-8697,209,268438473
14116,-2036,7644,-841,-8381,112,268438473
13924,-2204,7388,-380,-7547,64,268438473
15060,-2164,7160,-152,-7571,-193,268438473
15400,-1932,6996,318,-8707,34,268438473
15228,-2080,6688,5,-10095,375,268438473
15152,-2196,6244,245,-10906,16,268438473
15732,-2248,5328,434,-8867,162,268438473
15784,-2348,4964,57,-6809,424,268438473
16572,-2292,4912,385,-6435,850,268438473
16208,-2600,6072,-768,-6621,1311,268438473
16204,-2456,4484,-1158,-7211,1197,268438473
16000,-2436,3800,-1114,-6648,1112,268438473
16296,-2240,3696,-1047,-7111,876,268438473
16544,-2456,3084,-1444,-7968,1478,268438473
16644,-2820,2336,-1210,-7071,1421,268438473
17024,-2820,2392,-1311,-5385,1454,268438473
17100,-2624,2068,-1436,-6099,2026,268438473
16892,-2600,1560,-1019,-7324,2473,268438473
16568,-2576,1176,-74,-8451,2481,268438473
16792,-3192,904,-312,-9048,3066,268438473
16120,-3524,744,-431,-10506,3205,268438473
16300,-3660,336,-1178,-11648,2874,268438473
16680,-3368,-552,-1868,-11923,2696,268438473
16104,-3912,-1480,-2965,-13247,3158,268438473
15940,-4040,-2116,-3577,-11776,2996,268438473
15652,-3956,-2844,-3946,-10860,3212,268438473
15696,-4120,-3748,-4139,-12061,3229,268438473
15268,-4540,-4460,-4215,-11934,2972,268438473
16028,-4492,-4836,-4191,-12568,3284,268438473
16024,-4216,-5536,-4031,-13259,4748,268438473
15480,-4640,-6436,-3402,-13767,4448,268438473
15328,-4824,-6976,-3606,-14212,4769,268438473
14732,-5084,-7684,-4310,-15336,5454,268438473
13892,-5520,-8312,-5261,-14923,6368,268438473
11576,-5056,-9660,-5784,-15678,5855,268438473
11560,-5532,-10524,-4067,-12276,3241,268438473
12024,-5472,-11052,-2286,-10267,3130,268438473
12464,-5876,-11464,-1246,-10256,3163,268438473
11984,-5864,-11432,-1163,-10600,3468,268438473
10148,-5928,-11752,-1323,-8164,3020,268438473
10452,-6232,-12308,-1551,-4862,1078,268438473
11828,-5660,-12812,-1968,-7214,846,268438473
11476,-6012,-12900,-1083,-8404,884,268438473
10680,-6148,-12888,-738,-5901,1086,268438473
9412,-6300,-13308,-967,-2679,1569,268438473
9612,-5828,-13960,-931,709,731,268438473
9916,-5864,-14364,122,5403,-223,268438473
10124,-5688,-14024,2047,12125,-1211,268438473
11352,-6248,-13364,4236,17335,-2953,268438473
11612,-6112,-11692,5482,18462,-3721,268438473
12668,-6024,-10716,4390,20537,-3528,268438473
14052,-6128,-9168,3678,19283,-2806,268438473
14240,-6324,-8476,2553,14643,-3343,268438473
14924,-5840,-6888,1853,12589,-3192,268438473
14728,-5524,-7140,660,11574,-2091,268438473
