ax, ay, az, gx, gy, gz, temp
-2104,1088,15928,-74,-138,-25,268438473
-2020,920,15924,-73,-323,-39,268438473
-1960,988,16096,-56,-232,20,268438473
-1928,1116,16020,-147,-330,42,268438473
-1988,1044,16048,-144,-498,33,268438473
-2120,1044,16024,-325,-661,41,268438473
-1772,1188,15976,-488,-859,-1,268438473
-1868,1092,16044,-361,-1032,95,268438473
-1584,1008,16024,-246,-2270,1009,268438473
-1904,1104,15828,-136,-2566,1006,268438473
-1820,1076,16108,-242,-2224,1027,268438473
-1624,996,16324,-165,-1657,361,268438473
-1396,916,16076,-430,-846,-104,268438473
-1252,864,16036,-426,-1136,-61,268438473
-1072,928,16244,-143,-774,6,268438473
-1128,812,16292,-71,-697,-4,268438473
-1096,668,16380,-6,-1011,-52,268438473
-1108,968,16264,358,-859,-102,268438473
-1924,1316,17264,526,-2543,435,268438473
-1988,1396,17828,-1398,-6102,630,268438473
-1208,1276,17528,-3823,-9338,203,268438473
-60,892,17872,-6250,-13460,118,268438473
1452,876,17856,-7380,-13276,974,268438473
704,204,16168,-6938,-13497,2066,268438473
1164,-648,15728,-6525,-13477,2108,268438473
2156,-960,14880,-5055,-13000,1509,268438473
3076,-1368,14584,-3168,-11804,1057,268438473
4116,-1568,14196,-1417,-9093,1133,268438473
4124,-1564,13804,24,-8768,1565,268438473
5008,-1380,14168,2046,-7198,1342,268438473
4980,-1000,14472,1959,-7554,855,268438473
5576,-996,14360,1066,-12534,1260,268438473
6788,-1160,15320,1223,-14803,2165,268438473
8216,-868,16400,754,-11749,2728,268438473
7524,-780,15528,-202,-11071,2153,268438473
8140,-784,15420,-1305,-11097,1336,268438473
8352,-1388,13860,-1700,-14095,715,268438473
10124,-1472,14120,-1794,-14582,694,268438473
10248,-1660,13824,-2050,-13260,1027,268438473
9852,-1620,12696,-3249,-14692,904,268438473
10644,-1960,11876,-3522,-16310,1314,268438473
11256,-2168,11396,-3979,-18368,1577,268438473
12916,-2828,10332,-3818,-18044,2149,268438473
12800,-2756,9252,-3282,-17824,2601,268438473
13432,-2816,9008,-3032,-18980,3126,268438473
13836,-2900,8108,-2934,-18354,3132,268438473
14492,-3088,7748,-2743,-15940,2563,268438473
15088,-3448,6932,-3049,-13860,2427,268438473
15588,-4000,7508,-2951,-10984,2381,268438473
15024,-3560,5056,-3101,-12165,2462,268438473
14928,-3672,4356,-2792,-12073,2102,268438473
15356,-3796,3936,-2783,-13242,1986,268438473
15424,-3896,3372,-2814,-12500,1946,268438473
14840,-4016,1012,-3225,-14278,1991,268438473
15788,-4368,1052,-2746,-15416,2632,268438473
16116,-4520,1088,-1786,-14036,2329,268438473
15944,-4636,948,-1872,-11487,1861,268438473
15952,-4840,220,-2596,-10816,1576,268438473
15708,-4560,-812,-3100,-9996,422,268438473
15552,-4788,-1516,-4714,-12039,1018,268438473
13132,-4332,-5172,-5459,-14728,973,268438473
15160,-4612,-4508,-4753,-14985,1252,268438473
15896,-4616,-4344,-2922,-12570,863,268438473
16672,-4788,-4696,-3316,-13823,1585,268438473
15884,-4724,-5756,-2593,-13119,1808,268438473
13580,-5088,-7192,-1614,-10619,1443,268438473
14928,-5248,-6892,-1928,-13763,2446,268438473
14380,-5068,-7416,-838,-12457,1455,268438473
14972,-5656,-7440,-2433,-14720,1995,268438473
13892,-5160,-8440,-1971,-11883,1648,268438473
14784,-6372,-3240,-1494,-7813,903,268438473
13492,-5760,-9448,-3641,-14813,1643,268438473
12736,-5000,-10308,-3137,-13807,693,268438473
12720,-4960,-10472,-4260,-13773,523,268438473
11776,-5032,-11504,-7010,-15213,753,268438473
11100,-4928,-12372,-8656,-18592,1227,268438473
9988,-4348,-13984,-9193,-19448,415,268438473
9452,-4036,-14620,-7604,-19080,-274,268438473
9724,-4252,-15140,-6043,-17049,-440,268438473
8676,-4624,-16880,-4423,-15972,399,268438473
8624,-4120,-16236,-1736,-14496,968,268438473
7120,-3876,-16408,-892,-14539,415,268438473
6724,-3380,-16064,-597,-14558,800,268438473
5696,-3288,-15744,-167,-13228,667,268438473
4920,-3232,-16040,-819,-13148,736,268438473
3780,-3188,-16460,-950,-13324,491,268438473
3328,-3288,-16852,-957,-15065,454,268438473
3052,-3500,-16924,-1029,-15524,675,268438473
1968,-3032,-17248,-593,-15308,578,268438473
1296,-2912,-17044,-342,-15818,593,268438473
980,-2916,-17080,-728,-14417,1106,268438473
44,-2772,-17300,-937,-11840,1362,268438473
-1400,-2552,-17992,-1442,-10910,1719,268438473
-1312,-2936,-18528,-749,-10839,1529,268438473
-1900,-2812,-17736,-405,-8953,1586,268438473
-2516,-2680,-17480,-569,-6890,1575,268438473
-3208,-2608,-17404,-587,-4027,1150,268438473
-3416,-2900,-17492,-616,-1120,746,268438473
-4084,-3076,-17540,-453,3614,163,268438473
-4488,-2880,-17672,-576,7430,-627,268438473
-3968,-3832,-17996,187,9477,-2072,268438473
-2760,-3640,-18640,1830,9432,-2004,268438473
-2144,-3444,-17568,2628,9679,-2144,268438473
-1684,-3060,-16684,1847,10130,-2510,268438473
-288,-3268,-17244,1505,11684,-2711,268438473
796,-3664,-17936,1262,10598,-2517,268438473
3028,-3472,-18076,1917,10628,-2277,268438473
3916,-3564,-17288,3884,13228,-3107,268438473
4872,-3676,-15964,3447,17228,-2015,268438473
4188,-3892,-16412,1561,22167,-926,268438473
3988,-3868,-18152,1373,23310,-1910,268438473
6048,-4052,-17068,900,19551,-2313,268438473
8740,-3896,-15292,1733,25549,-2100,268438473
9484,-4136,-14616,1217,31395,-2120,268438473
9696,-3480,-14664,-228,32767,-2292,268438473
11616,-4016,-13824,-937,31114,-2448,268438473
12528,-3616,-12376,-117,29563,-1725,268438473
13500,-3444,-10268,324,27878,-1361,268438473
13824,-2500,-9148,1658,28502,-2217,268438473
14084,-3440,-7956,2231,26311,-2462,268438473
15388,-3800,-6196,1855,23714,-1824,268438473
15560,-3484,-5396,1970,23172,-1302,268438473
15788,-3832,-4360,2964,22719,-1258,268438473
15432,-3756,-3484,3977,20742,-891,268438473
15716,-3540,-2156,4755,18151,-343,268438473
16972,-3504,-124,5508,19281,117,268438473
16096,-2908,576,5688,20962,-213,268438473
15424,-3308,1344,5141,16922,-112,268438473
16332,-3196,2800,5243,14962,579,268438473
16024,-2812,3748,5541,14855,1169,268438473
15152,-2664,4764,5178,14634,1195,268438473
14804,-2836,5680,4285,13927,555,268438473
15044,-2752,6064,3423,12989,-187,268438473
15532,-3032,6780,3901,14104,-275,268438473
14812,-3124,7268,4484,15153,143,268438473
14136,-2596,7860,4378,14305,518,268438473
13908,-2584,8432,3965,12491,523,268438473
13648,-2460,9484,4186,12079,280,268438473
13176,-2012,10148,3782,12239,-3,268438473
12204,-4468,11420,1651,10662,3073,268438473
10872,-1352,11168,560,8268,1648,268438473
10412,-2072,11084,-337,6457,1800,268438473
11336,-1976,11008,337,7219,1155,268438473
12312,-2728,11748,2281,10850,1199,268438473
11240,-2096,11828,3339,15259,2328,268438473
9940,-2404,12456,2805,15939,3181,268438473
9200,-2524,13688,1995,14270,2419,268438473
8336,-5164,14432,1879,18615,2252,268438473
5960,-2452,13560,417,25571,1302,268438473
5020,-2080,14448,3892,25978,-334,268438473
4884,-1952,14764,5624,26949,-52,268438473
3856,-2404,15732,4053,20319,260,268438473
2248,-2296,16324,3232,20734,1777,268438473
1516,-1828,16448,2909,18091,2314,268438473
416,-1116,16488,2463,15027,1760,268438473
-672,-1700,16160,3414,13551,949,268438473
-696,-1064,16400,3934,14246,1456,268438473
-1544,-676,16896,3858,16360,1649,268438473
-2860,60,16840,3547,16999,749,268438473
-3608,-316,17080,2844,17045,-382,268438473
-4388,-208,16376,1890,17674,-862,268438473
-4980,-16,15944,1190,17111,-422,268438473
-5236,-144,14980,1516,18762,972,268438473
-7040,328,14308,1715,19623,2034,268438473
-8216,1116,14016,472,18669,992,268438473
-9364,572,12876,-947,18066,-616,268438473
-5496,5084,12896,-6655,32767,-1506,268438473
-10720,660,11596,-6849,32686,1322,268438473
-12420,-1828,9872,-3187,15597,415,268438473
-12320,-1328,9268,-20,12363,-571,268438473
-12064,-592,8324,2634,13510,-562,268438473
-12940,-748,8100,3874,15151,-82,268438473
-13560,-416,6924,2238,14819,139,268438473
-13932,-348,6488,476,12870,963,268438473
-14236,-184,5644,-735,10927,1513,268438473
-14748,28,5256,-701,10556,863,268438473
-15160,-116,4748,620,10220,-880,268438473
-15076,-316,4684,2901,11701,-3109,268438473
-12624,2572,4812,4241,15296,-4720,268438473
-16772,-2456,2744,3021,15095,-4177,268438473
-16456,-1152,1824,1878,12597,-3326,268438473
-16088,-428,1300,1113,11519,-3149,268438473
-16072,-1276,800,1175,14569,-3935,268438473
-14940,-516,548,661,17016,-2694,268438473
-15996,-3044,-1288,596,22209,-1892,268438473
-15524,-1248,-3848,-241,18213,112,268438473
-15700,-1240,-5032,1791,15127,-425,268438473
-15512,-2764,-5168,2431,14510,-1379,268438473
-14960,-616,-5368,2112,11851,-1933,268438473
-14504,-1552,-5760,616,9763,-1169,268438473
-14348,-3664,-5600,479,8986,-836,268438473
-13708,-516,-6340,1805,9220,-805,268438473
-13656,-3396,-6364,1846,11679,-43,268438473
-14084,-2068,-7508,715,11311,-190,268438473
-13764,-1596,-7684,476,11661,-653,268438473
-13888,-2140,-8976,959,10909,-1231,268438473
-13472,-1848,-9324,1345,10739,-1986,268438473
-12924,-1512,-9204,1001,13675,-2296,268438473
-12684,-2028,-10192,162,16728,-2097,268438473
-12484,-2680,-11840,-542,14469,-2147,268438473
-11900,-3092,-11388,238,13566,-3032,268438473
-11124,-2968,-11932,-608,12323,-3670,268438473
-10256,-2480,-12128,-1511,12519,-3679,268438473
-9840,-2284,-13728,-2552,12926,-2113,268438473
-9568,-2368,-15192,-2821,12737,-1760,268438473
