ax, ay, az, gx, gy, gz, temp
-4184,-1380,15540,-9,-183,-5,268438473
-4224,-1544,15560,-93,21,-180,268438473
-4172,-1256,15408,-212,-34,-154,268438473
-4224,-1340,15368,-108,-191,6,268438473
-4344,-1340,15540,-60,-198,84,268438473
-4560,-1548,15436,-251,-374,-70,268438473
-4424,-1500,15276,-302,-488,-255,268438473
-4280,-1444,15152,-77,-660,-279,268438473
-4092,-1648,15516,224,-497,-526,268438473
-3640,-1648,15460,291,260,-631,268438473
-3764,-1692,15076,543,768,-27,268438473
-4028,-1632,14964,943,884,289,268438473
-4084,-1312,15256,1922,1844,-520,268438473
-3916,-1176,15788,2434,1982,-1061,268438473
-4336,-720,16644,883,-528,-335,268438473
-5200,-304,16392,-979,-2701,359,268438473
-5640,-96,15692,-2042,-5457,-719,268438473
-5136,-808,16284,-1613,-8232,-2846,268438473
-3116,-1428,16556,-665,-4019,-2794,268438473
-2740,-1484,16380,-442,-1191,-604,268438473
-3920,-1416,16184,-246,-2105,422,268438473
-3992,-1636,16128,-539,-4707,-703,268438473
-3000,-1524,16508,-1516,-5178,-630,268438473
-2780,-1636,16100,-2362,-3711,-427,268438473
-2464,-1924,15388,-2203,-4838,-310,268438473
-2016,-2268,14560,-1945,-8651,-437,268438473
-748,-2524,15200,-987,-12514,374,268438473
-376,-2340,16164,-1242,-14984,1582,268438473
-220,-1904,17036,-1790,-16236,1733,268438473
564,-1860,17144,-2657,-16006,1177,268438473
1260,-2436,15992,-3671,-18434,1370,268438473
2512,-2576,15364,-3703,-23865,1916,268438473
3504,-2828,15788,-3242,-24512,2653,268438473
4284,-3120,15712,-2614,-18706,959,268438473
4900,-3172,15052,-2925,-15486,-809,268438473
6008,-2868,14540,-4557,-22057,-1742,268438473
8476,-3512,14176,-5084,-24104,-1489,268438473
9484,-3764,13464,-4558,-17594,-1153,268438473
9648,-3628,12032,-4372,-18616,-1012,268438473
10712,-3976,12136,-5613,-26515,-197,268438473
11936,-4452,11648,-5897,-25383,84,268438473
