-124,776,16136,-21,-208,-2,268438473
-104,764,16140,-19,-182,4,268438473
-152,772,16232,-33,-187,6,268438473
-124,776,16304,-46,-191,23,268438473
-192,788,16244,-25,-210,5,268438473
-168,712,16192,-35,-199,-11,268438473
-92,768,16248,-31,-174,15,268438473
-164,752,16236,-39,-196,-25,268438473
-172,896,16164,-7,-190,15,268438473
-340,772,16192,-27,-223,-4,268438473
-148,836,16256,-24,-188,-5,268438473
-84,716,16112,-53,-176,-23,268438473
-184,764,16220,-21,-182,24,268438473
-228,816,16276,-46,-181,-12,268438473
-184,732,16188,-7,-212,40,268438473
-200,828,16200,-40,-214,22,268438473
-68,916,15516,-40,-420,-7,268438473
-276,844,16836,-37,-54,-4,268438473
-76,712,16340,-71,-179,20,268438473
-16,848,15628,10,-260,32,268438473
-100,828,16048,-4,-254,-10,268438473
-152,792,16356,-37,-162,29,268438473
-128,764,16312,-64,-115,-45,268438473
-184,704,16152,-46,-233,9,268438473
-76,872,15888,11,-232,28,268438473
-184,748,16272,-44,-213,-2,268438473
-164,776,16284,-44,-139,31,268438473
-48,820,16056,-33,-126,-1,268438473
-80,764,15912,-29,-209,-16,268438473
-104,804,16152,16,-195,1,268438473
-204,832,16184,-27,-189,2,268438473
-20,844,16292,-28,-166,26,268438473
-136,776,16024,-17,-197,-8,268438473
-168,820,16120,-33,-197,9,268438473
-132,872,16244,-42,-174,13,268438473
-236,768,16256,-28,-177,16,268438473
-168,724,16068,-18,-205,31,268438473
-132,800,16160,-29,-173,-5,268438473
-140,672,16308,-32,-180,7,268438473
-68,804,16244,-25,-155,22,268438473
-104,748,16228,-34,-200,-7,268438473
-116,748,16048,-3,-188,37,268438473
-148,816,16280,-37,-173,4,268438473
-108,768,16208,-8,-189,-3,268438473
-208,892,16196,-23,-188,-15,268438473
1864,264,16412,42,-325,-4085,268438473
-124,712,16244,-1,-128,-2715,268438473
-388,1320,16272,-17,-100,-1519,268438473
-1236,700,16132,10,-207,-636,268438473
-144,644,16068,40,-164,-1110,268438473
572,760,16220,81,-292,-1672,268438473
496,768,16304,42,-215,-2086,268438473
1212,708,16428,69,-325,-3152,268438473
1476,888,16296,191,-439,-4020,268438473
1548,764,16256,271,-529,-5111,268438473
1944,860,16224,300,-342,-6729,268438473
1664,672,16396,389,-743,-8101,268438473
1460,800,16204,451,-767,-9343,268438473
576,808,16104,432,-682,-9846,268438473
-272,496,16312,441,-824,-9467,268438473
-500,540,16192,452,-659,-9097,268438473
-872,224,16008,421,-643,-8649,268438473
-2084,532,16152,201,-264,-7353,268438473
-1608,240,16212,174,-121,-6681,268438473
-1644,632,16188,262,-352,-6394,268438473
-2944,668,16000,185,-582,-4722,268438473
-3688,-180,17272,-16,110,-928,268438473
-3700,-316,16420,-2,-551,1038,268438473
-36,664,16128,-67,-48,-19,268438473
-220,756,16264,4,-343,22,268438473
-108,760,16132,-72,-135,13,268438473
-132,748,16100,-27,-211,17,268438473
-160,760,16228,1,-219,33,268438473
-160,728,16108,-26,-188,15,268438473
-180,792,16196,-19,-206,17,268438473
-204,820,16164,-35,-208,2,268438473
-264,768,16168,-34,-174,0,268438473
-88,816,16128,-53,-187,12,268438473
-116,824,16280,-29,-193,16,268438473
-132,760,16176,-30,-169,25,268438473
-224,808,16176,-23,-158,13,268438473
-432,516,16372,-415,752,-74,268438473
468,144,15624,-153,362,-297,268438473
-548,256,15732,228,-926,-111,268438473
16,1336,16568,-128,-4,305,268438473
68,900,16224,-27,-184,555,268438473
-180,692,16176,-52,24,74,268438473
-420,532,16188,-102,-11,285,268438473
-1696,-1988,16364,-176,-181,3147,268438473
-2256,-764,16564,83,-942,4478,268438473
-3516,624,15656,-177,154,4531,268438473
-1416,908,16296,-226,186,2955,268438473
124,1156,16008,-435,280,6453,268438473
1444,1888,16184,-395,602,6850,268438473
2048,2096,16156,-225,16,5209,268438473
3432,1556,16384,-147,-51,1329,268438473
596,-264,16200,-315,628,92,268438473
56,644,16028,86,-507,37,268438473
-216,692,16284,-34,-150,17,268438473
-132,748,16128,-52,-100,-7,268438473
-148,776,16196,-29,-200,20,268438473
-136,752,16176,-17,-213,34,268438473
-116,808,16172,-40,-184,12,268438473
-232,724,16124,-31,-173,27,268438473
-128,756,16156,-46,-184,11,268438473
40,2860,23972,-4026,12321,-3108,268438473
76,608,15740,1372,-485,-233,268438473
280,616,16316,-125,-503,2119,268438473
-728,708,16104,-106,-326,2769,268438473
-1916,-144,16000,-173,-343,2571,268438473
-1508,400,16056,-180,75,4812,268438473
-2036,664,16132,-86,-531,4889,268438473
-1760,1556,15976,-358,-25,6511,268438473
-1552,1160,15884,-464,218,8266,268438473
-364,740,16588,-486,384,9666,268438473
-24,-88,16100,-482,242,8318,268438473
-600,-320,16168,-473,370,8126,268438473
-312,8,16128,-481,494,8341,268438473
-284,1224,16368,-386,214,7730,268438473
528,572,16448,-436,135,7529,268438473
-416,-224,16108,-439,-3,8174,268438473
-976,100,16372,-486,292,9511,268438473
-408,596,16424,-498,734,9264,268438473
1192,920,16416,-304,-7,8823,268438473
164,924,16216,-308,-188,8515,268438473
1824,220,16684,-239,32,8062,268438473
1532,300,15920,-114,100,6664,268438473
3888,656,16928,-447,187,4591,268438473
3404,1736,16360,40,-202,-1089,268438473
-148,804,16140,-39,-166,-7,268438473
-368,700,16144,-32,-210,7,268438473
-100,824,16196,-25,-148,9,268438473
-232,788,16092,-35,-177,1,268438473
-184,636,16244,-32,-202,-2,268438473
-236,760,16220,-39,-193,21,268438473
-108,772,16244,-25,-157,-10,268438473
-140,720,16116,-58,-196,0,268438473
-124,740,16304,-21,-193,18,268438473
-120,692,16264,-7,-186,15,268438473
-104,816,16304,-51,-156,-19,268438473
-232,776,16072,-17,-171,43,268438473
-240,820,16268,-43,-162,1,268438473
-160,788,16252,-31,-168,27,268438473
-204,712,16312,-25,-188,16,268438473
-264,724,16204,-36,-194,-10,268438473
-220,716,16056,-29,-171,12,268438473
-240,852,16288,-14,-210,1,268438473
-192,704,16104,-30,-167,-1,268438473
-176,752,16216,-39,-210,-6,268438473
-176,664,16212,-5,-204,14,268438473
-172,764,16236,-19,-183,-16,268438473
-228,784,16128,-19,-194,-6,268438473
-204,804,16256,-29,-195,16,268438473
-300,632,16220,-23,-185,22,268438473
-184,808,16164,-38,-191,-3,268438473
-168,884,16084,-30,-185,-3,268438473
-216,684,16124,-9,-178,17,268438473
-228,780,16332,-40,-187,13,268438473
-208,720,16164,-9,-193,8,268438473
-236,752,16292,-30,-178,-1,268438473
-228,796,16204,-15,-183,14,268438473
-164,816,16140,-32,-182,-11,268438473
-184,796,16112,-35,-192,23,268438473
-248,760,16124,-68,-167,-9,268438473
-252,812,16108,-40,-187,30,268438473
-212,660,16320,-37,-184,10,268438473
-196,716,16184,-29,-164,20,268438473
-148,732,16196,-9,-177,15,268438473
-244,788,16116,-29,-202,0,268438473
-260,716,16224,-22,-165,9,268438473
-212,764,16256,-31,-192,13,268438473
-204,704,16136,-45,-178,21,268438473
-168,744,16272,-47,-159,43,268438473
-172,796,16156,-20,-158,1,268438473
-260,792,16120,-47,-169,21,268438473
-184,760,16136,-32,-173,10,268438473
-200,792,16220,-37,-174,3,268438473
-280,760,16252,-39,-189,26,268438473
-204,808,16200,-12,-195,-11,268438473
-260,732,16112,-20,-186,-7,268438473
-232,848,16240,-62,-205,14,268438473
-212,760,16176,-48,-182,22,268438473
-212,772,16196,-43,-202,-17,268438473
-216,776,16260,-61,-192,5,268438473
-260,792,16084,-33,-198,-3,268438473
-240,872,16124,-24,-180,-3,268438473
-136,724,16092,-16,-194,20,268438473
-212,740,16032,-14,-182,2,268438473
-264,852,16164,-81,-185,9,268438473
-80,848,16104,-18,-183,-3,268438473
-200,808,16240,-37,-177,25,268438473
-208,704,16176,-7,-184,9,268438473
-248,768,16340,-42,-206,6,268438473
-228,804,16272,-55,-206,8,268438473
-200,648,16100,-24,-176,31,268438473
-236,752,16192,-31,-188,-4,268438473
-168,708,16136,-42,-211,18,268438473
