ax, ay, az, gx, gy, gz, temp
-568,-672,16044,111,-113,-81,268438473
-500,-620,16292,267,-196,-123,268438473
-448,-700,16208,303,-209,-42,268438473
-404,-716,16044,309,-131,-18,268438473
-464,-632,16032,308,-175,4,268438473
-524,-616,16264,256,-257,230,268438473
-352,-660,16192,202,-207,232,268438473
-456,-648,16088,151,-153,154,268438473
-436,-392,16048,125,-21,222,268438473
-556,-524,15952,110,-7,126,268438473
-624,-552,16152,114,-99,49,268438473
-456,-488,16240,131,-100,73,268438473
-416,-676,16420,170,-3,73,268438473
-464,-452,16280,58,-166,147,268438473
-408,-332,16236,-75,-185,342,268438473
-584,-464,16200,-166,-274,499,268438473
-624,-660,15984,-196,-715,538,268438473
-400,-464,16116,-173,-612,642,268438473
-464,-636,16024,-109,-440,535,268438473
-492,-480,16080,117,-284,137,268438473
-516,-452,16148,195,-303,-128,268438473
-304,-416,16092,178,-189,-194,268438473
-420,-584,16144,67,-308,-169,268438473
-332,-388,16340,-12,-523,-47,268438473
-268,-448,16304,-77,-339,155,268438473
-444,-564,16104,-146,-220,189,268438473
-528,-396,15968,-181,-552,181,268438473
-328,-424,16252,-163,-678,250,268438473
-456,-612,16160,-198,-680,355,268438473
-348,-508,16144,-216,-887,398,268438473
-248,-568,16192,-148,-1083,405,268438473
-396,-372,16080,-72,-1366,315,268438473
-148,-376,16204,-52,-1907,543,268438473
-104,-332,16332,-153,-1952,737,268438473
60,-572,16364,-154,-1393,770,268438473
56,-348,16268,-2,-436,616,268438473
172,-492,15904,480,-349,75,268438473
220,-624,16132,673,-104,-240,268438473
-76,-564,16004,653,563,-604,268438473
-76,-188,16044,521,232,-571,268438473
-136,-544,16148,198,-207,-317,268438473
88,-412,16224,-86,-424,-73,268438473
160,-344,16316,-282,-230,246,268438473
-88,-368,15980,-224,-251,226,268438473
60,-432,16060,-70,-243,28,268438473
108,-616,16256,-140,-152,-6,268438473
-80,-664,16072,-247,-37,-15,268438473
52,-576,16068,-215,-177,-254,268438473
36,-388,16192,-196,-62,-296,268438473
-148,-408,16064,36,87,-311,268438473
-52,-404,16248,249,-39,-316,268438473
-16,-308,16352,436,-59,-367,268438473
52,-344,16484,452,-115,-198,268438473
136,-432,16348,373,-203,-116,268438473
-12,-436,16300,325,-364,-51,268438473
244,-408,16224,161,-357,108,268438473
-32,-332,16140,117,-527,218,268438473
-4,-316,16256,48,-662,235,268438473
316,-412,16344,-51,-854,430,268438473
224,-448,16292,-257,-1196,542,268438473
260,-488,16220,-469,-1373,396,268438473
292,-96,16380,-713,-1348,307,268438473
436,-144,16556,-756,-1235,424,268438473
568,-672,16180,-769,-799,618,268438473
208,-720,15948,-588,-674,429,268438473
44,-328,15948,-469,-805,206,268438473
268,-316,16004,-96,-930,32,268438473
204,-584,15908,151,-1154,-52,268438473
452,-472,16188,346,-1199,-91,268438473
500,-532,16280,444,-1168,33,268438473
608,-476,16176,346,-1290,203,268438473
776,-436,16096,255,-1048,415,268438473
608,-516,15908,247,-659,294,268438473
580,-384,16124,357,-616,43,268438473
580,-320,16280,257,-384,-192,268438473
908,-360,16284,154,-77,-197,268438473
812,-244,16336,-60,420,-180,268438473
692,-344,16236,-84,434,-306,268438473
