timestamp,ax,ay,az,gx,gy,gz
0,-148,18700,-3940,-532,30492,-22355
10,1456,9288,8036,-6903,-8494,-1396
20,-6060,17228,-6472,-4293,-4097,-3110
30,1040,17884,-9828,1838,2670,-1897
40,5236,14964,10956,2492,6660,-272
50,-7216,15572,-14556,-233,-5588,9985
60,3096,21616,9856,-12021,9755,-10855
70,2472,18032,1280,3449,-32768,8892
80,-4140,11632,-2124,-5636,31905,-5486
90,2376,17864,-10304,1527,15357,2285
100,-5068,14276,-2688,7400,-32768,10030
110,-3256,14560,860,-11098,28318,-11404
120,-1716,12028,13156,-1173,10237,217
130,-7776,15472,-13712,-2654,-11705,8855
140,1476,16780,-3864,-3175,10231,-2614
150,2440,17956,2656,3080,-21100,375
160,-5220,12784,-3372,-1623,5667,-1046
170,1580,20248,-4728,2470,20827,-8616
180,4592,16200,2744,-7926,-18577,478
190,-2300,19936,-1252,1695,-10988,11903
200,-564,15760,-4116,-4411,19736,-7535
210,-5660,12376,10032,-7108,24552,-2103
220,728,17732,-3884,4697,-26540,9236
230,-1968,10692,176,-1787,-1338,2486
240,4636,21668,-6580,-4725,15999,-13186
250,1972,14200,6060,4012,1670,501
260,52,19320,-6904,-2337,-19299,10035
270,-1524,14004,-880,-2299,10788,-6008
280,-676,23340,832,6271,28071,-5925
290,-820,13832,-516,2929,-28780,11891
300,-4416,10644,-5456,-13113,87,-2027
310,-424,19084,-12220,5201,23103,-8508
320,2536,13104,14808,-410,7769,-5379
330,-6516,13940,-15664,-1059,-7402,6173
340,600,14628,-4536,-1721,3277,-6568
350,5700,19816,5956,6782,252,5133
360,-10096,11596,-11972,390,-18008,4775
370,784,14768,-3068,-5733,14119,-8255
380,5632,16092,2020,1131,-7049,4838
390,-6336,19360,-8228,-2180,-16092,10295
400,-820,16164,-3888,113,15442,-10825
410,1632,15324,7744,5396,-7802,4098
420,-6004,18508,-9452,-1836,-16246,6199
430,-3400,17028,2696,3697,16758,915
440,-764,15556,-4312,1752,-32768,8275
450,-1144,16184,-2420,-1369,2213,365
460,-1652,18364,-3552,4989,31906,-13876
470,3184,16812,-160,3925,-18064,4807
480,-4812,13116,-7280,-1692,-4475,5066
490,-3872,18748,-7072,6865,23286,-9662
500,1596,17408,2932,962,-32768,10460
510,-2960,15192,-3144,-3228,1481,418
520,1216,17868,-11700,-15266,9282,-9163
530,-13480,18540,8160,11179,19596,-762
540,-2372,16744,-20,11853,-32768,6501
550,-1780,9908,-400,-10453,25066,-454
560,-604,19744,-7696,-282,12158,-2692
570,936,13532,-1112,13235,-32182,5708
580,-2836,11508,-1804,-8949,20046,-2419
590,-4952,18320,-3060,-823,18113,-4780
600,-64,14528,-2860,5170,-30528,2783
610,-5256,16016,-1440,-3514,15362,-4232
620,-2260,16832,-14404,8956,19463,-254
630,532,14624,2792,12079,-32768,5233
640,-6700,11904,-4724,-5863,11821,623
650,-1632,18584,-10500,1850,10643,-2817
660,-536,15508,760,1987,-12832,12
670,-6276,11956,-7104,-3843,3224,787
680,-740,18228,-9416,2145,1959,773
690,-3888,11492,3720,-708,-20731,4620
700,-3932,12296,-4028,-2041,28455,-5044
710,-2180,17052,-11188,891,14448,-671
720,652,16096,11416,1975,-18524,5318
730,-6900,10664,-13064,-2978,404,-2756
740,2364,17612,-2544,-844,7862,-7334
750,-2000,13732,3928,819,-11981,160
760,-5308,12644,-8428,-3618,5457,3330
770,124,17328,-5124,-1925,423,-1039
780,-1156,16820,5532,-5073,3690,2325
790,388,20124,-17312,9983,704,-3843
800,648,12784,-1964,-4465,-19,1111
810,2800,17448,1228,-10373,4641,-829
820,1568,19212,-8780,6426,-19622,1953
830,-3472,12652,452,-5663,12920,-212
840,1500,18260,-1792,-5465,13061,2213
850,-1916,20548,-8496,4943,-28197,3160
860,108,16628,1692,-1698,7042,-3519
870,-3388,14672,-9448,3166,16065,845
880,0,14820,232,4852,-14805,-664
890,-5984,11348,-6832,-1567,15972,-3484
900,1476,17524,-7232,-534,-3849,2537
910,-5768,11640,1224,-5038,-14638,-2043
920,-2932,15600,-2532,804,22428,-5475
930,-3040,15988,-12892,685,-4656,2364
940,-5028,11836,5408,-3804,-15094,4932
950,1692,17636,-6956,-2647,12266,350
960,-1232,16380,-8724,62,11939,-5022
970,-3328,11280,2524,-3241,-20902,-1421
980,-556,14188,-5732,1940,12036,351
990,124,17648,-7760,3353,15112,-4241
1000,-2452,13284,5880,-2632,-13075,-579
1010,-3940,10392,-13348,935,18343,-4741
1020,-3384,15876,-5908,5000,11488,-8238
1030,-280,15116,4920,2178,-28697,2747
1040,-4568,13212,-8624,-3785,-1859,9808
1050,-144,15316,-5720,2397,12121,-7808
1060,5120,16648,8672,-8790,9757,-2970
1070,888,17564,-12816,-2682,-12955,6912
1080,1372,15620,-372,-41,7474,-6129
1090,2828,21100,-8772,6487,8019,8470
1100,-924,14740,-1788,5707,-32768,11974
1110,-2028,11208,184,-7396,20687,-13161
1120,4540,19468,-9156,-2345,5959,-1329
