timestamp,ax,ay,az,gx,gy,gz
0,3696,-20560,452,3923,-4187,18124
10,8640,-11508,5876,-3938,3287,-3186
20,3796,-16008,4112,-1879,-953,290
30,3376,-15700,4540,767,-274,850
40,3300,-15636,3968,-149,247,-570
50,4800,-17460,6700,1155,-28,-858
60,5596,-16016,640,-5185,2882,-15450
70,7088,-11384,1964,-9678,5637,-8955
80,10924,-11248,5276,-4105,12145,-1948
90,10364,-12100,4520,-141,1944,2053
100,8996,-12000,4800,1743,-5815,7253
110,6692,-14232,5296,10966,-20712,17195
120,-2492,-20968,700,-4484,-4722,-2326
130,3776,-15160,8476,-1737,18333,-5140
140,-16,-17368,7208,6773,-16393,6542
150,-4616,-20740,-4316,-6662,28310,-11269
160,5604,-17796,6272,-13979,7495,-20303
170,4852,-17816,10736,25538,-10868,19722
180,-1148,-15740,-4516,-10880,-21996,6853
190,1840,-14316,17172,-3251,32767,-14802
200,2064,-18292,5580,5810,-30729,6282
210,-1404,-20052,-8924,-11740,20555,-999
220,11712,-4296,11396,12332,-11575,9105
230,40,-17460,-9360,-12070,-20760,-1811
240,-1736,-16724,13252,-9508,32767,-13995
250,2452,-19132,9236,14162,-31145,2740
260,456,-16540,-9160,-11525,2387,-245
270,10316,-4412,12724,-3576,17410,-2300
280,-988,-22596,4324,3260,-20831,10410
290,1960,-18172,344,-7306,29810,-4944
300,8572,-15088,7932,8399,-19359,15535
310,5640,-13528,-1792,1264,-13236,3421
320,5964,-11852,11820,-5384,30521,-19567
330,1096,-18888,8724,7220,-25224,11929
340,-2124,-21884,-8180,-6786,23645,4118
350,10308,-7728,9396,12206,-19180,17701
360,3212,-15808,-1800,658,-7558,-8372
370,4440,-10940,14260,3195,19888,-20313
380,-1324,-18968,8376,794,-13701,-1567
390,-2792,-22604,1276,-6813,21032,1414
400,8804,-15248,9744,11701,-19590,15475
410,1012,-12864,-5704,-7162,-2651,2710
420,20172,-4324,9504,1806,459,-5080
430,2212,-18148,-1224,-1988,-9458,-1312
440,4264,-13368,14452,-3319,23526,-13036
450,-964,-19196,7384,2587,-17320,4671
460,-2860,-19048,4224,-2928,29784,-13667
470,2060,-19032,6524,7428,-19938,16324
480,64,-14892,-4252,-5595,4267,7268
490,13424,-4504,8020,1111,-3763,3514
500,2564,-17196,2416,300,-11228,-7929
510,1000,-15680,7328,-2744,32038,-20114
520,4112,-17212,7468,7147,-24867,8922
530,3504,-19588,-436,-5394,7528,5098
540,10664,-6520,10616,767,3262,361
550,6616,-14956,3440,4010,-10335,-62
560,5196,-16940,3108,-6228,17152,-5935
570,7164,-13712,9420,6920,-14520,9809
580,3152,-17384,-2632,2215,-8277,8727
590,9428,-9020,12880,-9057,10460,943
600,1708,-20128,3892,646,-10778,7289
610,-152,-19464,16,-4422,15250,4817
620,5628,-12412,10528,6831,-13073,8725
630,1616,-16432,5164,282,-7828,-9771
640,2120,-13004,15160,-440,27429,-17404
650,2252,-21568,4356,990,-17194,6472
660,5256,-22664,-2860,-9139,8325,19944
670,8384,-10568,11904,1040,-10944,14505
680,5864,-13268,5848,961,-8649,-8502
690,16052,-5812,13768,-1298,26128,-21828
700,3580,-16756,8396,6804,-15529,7575
710,1960,-17628,4064,443,13301,-8709
720,5824,-12216,7712,4236,-13876,6187
730,5736,-18616,3228,1550,2359,5882
740,9496,-5968,12396,572,628,2510
750,3476,-15112,6072,1862,-10466,846
760,3956,-13812,8192,-7949,24638,-18170
770,5280,-16088,7548,6214,-14575,8590
780,4652,-17556,820,-1837,6720,4697
790,8072,-10124,11496,1402,-6106,5303
800,4100,-16628,7752,716,-7628,-7091
810,4656,-14100,7624,-8145,23289,-18830
820,6940,-16448,9440,8328,-19464,7944
830,3292,-16948,-2452,-10648,6234,745
840,10876,-10272,14844,-13525,12592,-10481
850,7272,-13780,5880,14066,-12619,8829
860,5456,-16720,120,513,-16119,7573
870,6836,-14380,10452,-13252,28374,-20159
880,7180,-8548,4176,-229,-3921,3323
890,9328,-12816,8932,17688,-14022,14713
900,4116,-19820,4292,5555,-15540,11138
910,5684,-13900,4140,-15180,32767,-25600
920,9772,-10288,3832,-18306,1086,-5131
930,9908,-8576,2124,7837,742,8079
940,6312,-15528,6380,23062,-21728,14563
950,3352,-16812,6288,8534,-18287,9366
960,1532,-17796,1336,-15065,32396,-19245
970,7516,-8312,4192,-6487,2025,3505
980,10588,-12268,7728,13353,-4660,5690
990,3548,-16316,5648,18592,-22617,13626
1000,-1180,-17520,4420,-2599,-11281,313
1010,2924,-16548,4532,-5178,23177,-5912
1020,4244,-15208,6672,-7362,6156,-2022
1030,5540,-13988,8036,14024,-16860,5119
1040,1336,-16448,5756,3467,-15141,4504
1050,3988,-13172,6976,4087,26049,-16399
1060,3644,-10192,9348,875,-6542,11462
1070,2640,-16732,4972,-503,-1586,-443
1080,5740,-11664,9300,-357,-1066,635
1090,2920,-14760,2128,-818,-5516,4285
1100,7104,-10752,10444,-74,2674,784
1110,5020,-14008,6008,1254,-7327,-360
1120,6120,-12732,11952,355,15837,-8036
1130,1516,-16376,10416,3635,-13641,5485
1140,860,-14748,10932,5204,27862,-17838
1150,268,-16172,7708,1486,-14787,7092
1160,-2376,-17368,4856,-758,20368,-7977
1170,4308,-17448,10976,1055,-11678,12397
1180,-2320,-17176,2160,-5771,12426,2618
1190,4976,-14580,11444,1332,-11561,8625
1200,844,-14892,980,-6314,1841,6217
1210,6460,-11780,11136,1226,-7369,7635
1220,4172,-14352,1372,615,-4732,5775
1230,8372,-8624,12140,-1439,-971,2278
1240,5244,-13164,5792,4531,-12340,1282
1250,6304,-12280,14088,1437,13913,-6156
1260,1904,-16364,9672,816,-11326,3
1270,3992,-14264,6964,2435,18280,-8787
1280,3940,-15460,9852,-198,-7479,2651
1290,-5096,-18864,660,-11497,5416,6554
1300,7400,-12036,9564,-1308,-7661,4863
1310,3892,-15132,512,2048,-6365,4764
1320,7860,-11424,12012,-1627,5816,-437
1330,3408,-12560,8304,4086,-13844,286
1340,6192,-13236,10684,3039,15234,-7118
1350,3724,-14904,9180,1008,-9088,3424
1360,-2604,-16680,3484,-3605,13154,-9204
1370,5672,-13048,8736,1636,-4258,1620
1380,2920,-15792,2656,-552,-4439,9029
1390,5368,-12196,10208,-1318,566,1139
1400,4048,-14964,9364,2403,-11110,-547
1410,5216,-13952,9572,2185,17558,-12822
1420,4684,-16368,9396,1842,-14237,12703
1430,-3668,-15272,3188,-4424,19654,-10465
1440,3860,-14820,8240,76,-12399,9206
1450,3096,-16224,1076,-1196,2020,5910
1460,4912,-11976,9532,385,-3211,6329
1470,3460,-13404,5968,2210,-11255,392
1480,8356,-12060,11456,-1684,13650,-9651
1490,3368,-14404,8328,1404,-8551,2566
1500,-1964,-17072,6420,-1410,14904,-8476
1510,3344,-14868,9432,-126,-6489,3153
1520,3688,-15572,-116,-1615,-3825,9554
1530,8144,-9284,10396,-3071,638,3743
1540,4384,-14944,9816,2521,-11150,2260
1550,8768,-10824,11568,4507,20955,-19763
1560,2228,-15876,7824,2332,-11929,6858
1570,1180,-16416,7984,-1752,14063,-10925
1580,4320,-13608,8352,1992,-6788,4162
1590,3848,-14492,972,1198,-10289,2820
1600,9240,-9808,15060,-3785,13539,-5836
1610,3464,-16488,7264,521,-7129,7692
1620,1964,-16016,364,-7326,8824,7465
1630,5320,-10620,10144,1325,-8254,7271
1640,3596,-15364,5012,3391,-11023,-4514
1650,9872,-8496,12560,909,14210,-7834
1660,2464,-16260,8908,1973,-10983,5455
1670,-256,-14964,8512,-1957,19698,-15377
1680,3376,-14576,8840,6648,-16438,8785
1690,336,-16828,3292,-6238,19290,-5329
1700,3316,-13600,9852,4116,-15304,9687
1710,4388,-15164,-2120,-803,2871,1199
1720,9032,-8444,12052,-834,-2472,8445
1730,2144,-16304,7636,3904,-11909,-666
1740,4908,-11472,16860,5015,19497,-16019
1750,-12,-17124,7472,844,-4955,461
1760,-4564,-19644,5580,-4382,15329,-4841
1770,2292,-13408,9356,-742,-5307,4896
1780,3024,-14728,3512,-382,-10893,1016
1790,10888,-6816,11012,1205,-458,3126
1800,3400,-16092,10860,4352,-7781,627
1810,-2464,-16576,8064,604,18200,-10978
1820,1072,-15540,7612,503,-9584,8339
1830,-880,-17444,3380,-7451,12640,-1014
1840,4556,-13276,11488,2439,-12694,11598
1850,3036,-13784,-388,-3777,-5558,266
1860,10232,-8076,11872,-525,-3809,8651
1870,1536,-14488,6264,2352,-9975,-1865
1880,11696,-8696,14828,519,17091,-15117
1890,1792,-15276,8208,2662,-9816,3837
1900,-4760,-18684,3428,-3043,20743,-6997
1910,3680,-15288,8688,-497,-9263,7548
1920,2820,-15692,784,-3381,-1758,9414
1930,7828,-10704,10372,1217,-5732,9465
1940,4152,-12480,3148,1673,-11253,3358
1950,10748,-10364,14008,-1439,13941,-8971
1960,3076,-15564,7992,2250,-11208,5009
1970,-2308,-15900,6084,-514,16685,-12104
1980,4232,-15792,7996,793,-9226,4357
1990,2828,-17228,1612,-5372,5411,5770
2000,6036,-12512,9160,905,-4192,6445
2010,4600,-14704,8444,2474,-9084,646
2020,3344,-12984,8832,4259,18959,-18928
2030,5196,-13840,7560,1910,-6925,3197
2040,488,-19804,1096,-4982,3227,5696
2050,2912,-13768,9064,-188,-233,2458
2060,4152,-14168,7956,1794,-12351,170
2070,6108,-11804,10820,3056,17149,-20134
2080,5208,-14892,6872,1682,-4135,2350
2090,-672,-17584,2988,-1972,7731,-4341
2100,4180,-14168,7012,-158,-1090,582
2110,4112,-14592,5884,1358,-10762,1573
2120,7012,-12608,11052,-289,14181,-5996
2130,4016,-16164,7004,1862,-8011,5071
2140,3344,-15872,24,-5904,572,11550
2150,7244,-11268,8784,366,-2307,5884
2160,3064,-15476,9708,5203,-6795,891
2170,-3852,-18832,4992,753,11573,-9327
2180,2720,-15856,8140,-560,-3509,4591
2190,4444,-13392,3308,-434,-10137,5842
2200,9448,-11096,8472,-4684,9203,-3136
2210,5096,-14144,7988,1728,145,1050
2220,-1528,-20360,-108,-6031,4194,3510
2230,4304,-12756,8796,185,-3450,6228
2240,4924,-14740,1732,-1244,-477,1654
2250,6116,-12060,7804,1979,-3006,4711
2260,2772,-14444,10556,3355,-5190,-3050
2270,4160,-14192,8652,1277,13381,-14029
2280,4908,-13984,8652,2780,-6595,2019
2290,8028,-11056,8128,2074,-3249,7046
2300,3724,-14816,8376,1432,-6377,44
2310,6972,-12616,10096,209,14470,-8396
2320,3620,-14648,8264,2515,-6918,1922
2330,-4,-15700,3356,-1715,15868,-13175
2340,5328,-14320,10200,989,-9283,5851
2350,-104,-17272,-932,-6680,8908,2689
2360,6096,-13228,11260,2014,-8925,6676
2370,4296,-12168,4224,35,-8021,-1469
2380,9260,-11980,14120,1245,15989,-10884
2390,-136,-15900,4804,-3145,-7882,704
2400,-136,-15876,8628,347,14106,-11230
2410,3060,-14620,7584,-1029,-5375,-829
2420,4848,-15548,3116,530,-7702,5470
2430,12136,-17268,12988,-3449,4956,-1480
2440,1084,-8668,2740,-5144,3622,-9483
2450,3760,-15292,6520,9540,-6897,9041
2460,3396,-14820,6020,708,11330,-14658
2470,3096,-8036,4404,6819,-7635,2689
2480,10892,-30600,9292,-1044,7895,21008
2490,5808,-8700,3416,9885,6772,-3693
2500,7104,-13108,8376,4040,-715,5222
2510,7472,-11044,7708,8724,-4122,4221
2520,3188,-11036,8008,-1412,-1314,8043
2530,8560,-15092,9128,3734,3430,8791
2540,7892,-9888,5296,1554,-4473,4754
2550,-3068,-15576,9368,-2929,8698,-9638
2560,4184,-14284,8784,4009,-11174,17501
