timestamp,ax,ay,az,gx,gy,gz
0,2312,-19364,-10452,-4530,-3933,21938
10,10644,-12732,560,-13507,3819,-7038
20,3228,-12560,24,11542,-11549,11643
30,4392,-15968,3512,2176,9786,-24674
40,6820,-14040,3632,6583,-10051,6353
50,-3772,-22140,-4432,-11876,15132,-15668
60,7660,-11832,4108,-4342,-3150,-2411
70,5908,-15700,-160,7582,-10652,-69
80,6860,-11736,3512,-494,14252,-10062
90,8192,-16792,2388,4742,-8916,8725
100,-436,-24024,-5244,-16834,11419,1069
110,9168,-4624,5220,2015,1158,1763
120,8648,-14384,1984,6121,-10666,1210
130,5836,-14136,6884,-655,23941,-12367
140,8312,-17872,4188,9375,-19548,5903
150,-780,-22644,-1644,-5496,13598,301
160,7864,-12328,7968,4775,-15073,7168
170,-196,-20148,-3248,-13192,16114,3341
180,9852,-11012,8772,3500,-12800,12679
190,6232,-19060,-3980,-4760,6871,1450
200,10284,-8288,10640,5390,-10529,7914
210,4364,-19440,-2676,1758,-5082,9440
220,10296,-6376,9604,-1190,-1168,6012
230,3844,-19508,-2772,-43,-9024,8008
240,14060,-4824,10712,-7185,10591,-4705
250,2296,-17020,2864,1134,-9448,932
260,6060,-13776,13992,-5573,21937,-22547
270,-468,-15872,4376,-23,-13351,5512
280,10100,-4400,7124,710,-3132,4201
290,2788,-13560,-76,4308,-16099,-218
300,11560,-9960,13172,1088,14746,-20973
310,-1272,-15092,2924,860,-15808,-4364
320,12996,-8076,12556,4838,18178,-19677
330,144,-15084,3312,3634,-19474,-1292
340,13424,-7576,12188,1359,17056,-14139
350,1620,-13712,3240,1309,-15981,-2852
360,12732,-8972,12216,3216,19997,-17809
370,1252,-15272,3288,4432,-19458,87
380,13624,-9708,10604,-1306,15984,-17210
390,5736,-12940,2504,808,-146,-132
400,6120,-17164,5468,6473,5026,317
410,5972,-12644,4468,-6007,-731,604
420,6656,-9560,5900,3771,-7891,12913
430,5660,-17712,7220,-13067,10273,-15718
440,3124,-16436,1556,3637,-10692,27495
450,10856,-7220,16916,-4288,-5670,-14917
460,-5280,-24392,2012,-10174,11506,-24511
470,3600,-13308,608,6720,-15950,27617
480,12432,-11620,15340,-5127,12243,-24027
490,36,-19236,-1116,-7342,-7128,15398
500,9996,-12636,14920,-3191,5015,-24329
510,1740,-17432,-3684,-3013,5444,8720
520,10576,-12736,8228,-3929,-7368,-3160
530,5640,-13612,3296,2194,6480,2567
540,6168,-18424,3240,-4848,-1521,-9765
550,4732,-10504,2236,3779,-7090,12355
560,8636,-17236,8560,3379,-16759,5142
570,2400,-20220,-5252,-5567,2788,11209
580,10812,-8980,9156,-327,-8148,5246
590,4276,-20248,-5788,-2115,-4871,16401
600,10816,-8076,5444,1068,-9640,8813
610,3184,-21064,-10756,-4318,-5402,15040
620,12208,-5924,4068,1522,-5271,5904
630,3812,-21596,-9156,-4998,-4877,10117
640,13800,-4396,3936,-1631,-2098,876
650,972,-19156,-5892,-1683,-13305,4747
660,17428,-7872,9052,-7325,7481,-14968
670,-4688,-22032,-1664,-2995,-18050,2579
680,5576,-11212,16884,-11637,21512,-21482
690,264,-18496,1908,-1349,-18953,17860
700,-596,-20752,-184,4335,13987,-1357
