ax,ay,az,gx,gy,gz
-6908,-25828,-22796,-6752,11484,1999
572,-16784,11928,-6660,13852,-8579
1728,-11316,10296,-160,-4289,4342
904,-15296,10164,10367,-14037,4401
-2636,-16852,5528,3577,31144,-12387
1120,-14756,9924,-3997,7708,-3055
1964,-12288,12824,4867,-6787,4241
1296,-12588,11524,8575,-17325,12466
4636,-14184,10700,-9991,5379,-3688
376,-12848,13088,-5806,6001,-2751
56,-17260,9092,4980,-5979,1150
-7520,-16264,-16604,-15920,-21205,3286
876,-16976,13324,-7910,3043,3275
988,-12920,9888,2656,-6940,6697
360,-15472,10764,8353,-6509,982
1364,-14088,19348,-61,25385,-8506
652,-11984,12436,-3323,3656,-289
692,-14448,10344,6334,-9388,1892
-2400,-13224,-3232,-404,21565,-6405
-248,-13876,10936,-4161,1432,-607
1772,-14588,11832,2697,-6676,2311
6344,-16684,3620,-5124,-13799,5408
1536,-15928,12516,-4768,13048,-4277
2556,-9284,10836,-349,-2495,3624
292,-15856,10208,6628,-9326,3489
2448,-18284,1516,-4625,13032,-3663
888,-16008,11968,-6685,10843,-7471
1936,-14528,12532,1738,-10167,7764
2832,-12632,9896,5210,-13759,5542
52,-14292,8648,-4858,17513,-9749
564,-11776,10036,-6788,2701,-2471
1636,-15880,10008,8327,-12698,3665
-7216,-21484,-20256,-8614,-786,8188
3204,-15400,13200,-8725,7424,-6380
2952,-15216,12236,3008,-3642,1171
820,-15248,10216,8077,-11749,2329
3540,-14316,10508,-4521,20252,-2973
1352,-12920,6936,-217,-1687,705
1808,-15540,10440,7177,-9853,2077
-420,-17256,10692,-5646,22201,-2130
1476,-16832,10156,-3024,1916,-2186
2160,-13960,13156,6489,-8165,4295
5684,-17452,-132,-9312,-22398,9378
-1356,-19468,8972,-8028,17065,-7244
1620,-12708,8816,1011,-1071,3215
1452,-14796,9924,8293,-13303,4061
1780,-12408,17664,-267,24844,-12572
1596,-16612,8812,-3242,7609,-3002
1128,-12236,11252,260,-4687,4019
1132,-16096,9444,8298,-12387,4529
-2268,-17364,17204,-1232,32767,-13270
800,-14968,7812,-4781,7952,-3652
1372,-14704,10880,5133,-10417,5287
-64,-14324,10416,10066,-14125,5951
3388,-15228,8188,-13422,12567,-3984
780,-16080,9100,-6411,10110,-6334
1724,-15476,9872,5304,-11880,3662
-1900,-15748,10020,6833,-14491,1302
1840,-14676,10840,-6491,26912,-6873
1092,-10240,6208,-4079,1089,800
100,-15056,10728,8350,-14678,4886
752,-22760,-10320,-8737,-12773,9316
-228,-17796,14904,-10057,21372,-10102
1300,-15364,12288,949,-7228,3937
-356,-15964,7808,9508,-15946,7759
-1596,-19112,-3420,3565,31464,-13368
1156,-14508,11992,-8780,10902,-8224
2820,-14872,10968,3108,-7633,3250
-272,-15960,10476,10699,-12840,3991
1880,-13436,12100,-4498,24826,-9910
560,-10672,12228,-4179,-1643,-765
1316,-16912,10652,10299,-13788,3965
440,-15492,-11000,-8075,-12990,11053
1516,-15300,18916,-6906,13332,-9950
3116,-16244,12680,2936,-2913,2798
1500,-14372,10260,6321,-11369,2252
1148,-13616,10848,-4319,29271,-10030
284,-11060,8400,-7226,797,-203
212,-15628,10232,9875,-14458,4247
-2128,-16624,-16868,-660,19744,-2528
-296,-16492,11212,-10365,8441,-4499
2620,-14640,10268,4943,-8661,4021
916,-17212,9304,8745,-14732,4560
4404,-11652,9884,-11821,22645,-9088
2016,-16056,10116,-5890,2373,-8146
884,-13564,8840,8392,-17714,8422
6908,-13156,14108,3509,-21093,4223
2808,-17084,10180,-9943,25273,-6432
2760,-10044,8176,-6568,1020,-2573
1088,-15944,9196,10847,-13871,7164
1736,-15116,8392,3080,-19011,6396
2360,-15108,11620,-9402,23243,-6646
2564,-11884,11252,-353,-6526,5108
1720,-15524,10596,9828,-12190,5749
-2416,-16416,-14288,-10234,2135,3486
-108,-18380,16576,-12030,15516,-5181
2352,-15844,10644,4935,-5165,1624
2188,-16480,9056,9222,-11679,4960
-1828,-17364,732,-2262,26843,-7027
-1448,-15836,13048,-6968,2099,-4136
1140,-14760,9688,7324,-11789,1489
-1664,-16816,-10812,-13146,-17136,5784
2800,-16108,19792,-7673,11535,-5209
2376,-13008,10780,5783,-4861,2366
348,-14912,11232,4124,-12859,3161
4000,-10740,11336,-2022,14931,-6735
1544,-13196,9868,-4386,1229,-52
1056,-14320,10836,4153,-10293,3308
-844,-16168,-7076,-11611,-18948,6575
2672,-17096,19352,-5609,15935,-5692
1736,-13116,10476,646,963,224
1380,-13940,10040,3778,-9339,2813
-3572,-16336,4884,1869,24926,-5853
932,-17108,9936,-3489,3197,-3191
2076,-14036,8676,1391,-4299,3677
2028,-14972,7092,3976,-8155,1032
-40,-18172,4596,-1114,21057,-5680
2356,-15496,9708,-5009,8531,-5705
2324,-15492,10712,2988,-5399,2133
912,-15784,8664,5112,-6425,-173
2116,-14116,3200,-1213,16618,-4912
1644,-15260,10500,-5692,6255,-4598
1740,-15556,10608,2986,-7275,2006
-344,-15244,10260,3516,-12626,3658
512,-15204,4412,-2744,17178,-3611
2232,-11468,6376,-4656,-607,813
1376,-15136,8740,4419,-13005,4332
5396,-17468,2856,-3085,-15530,5661
332,-17888,13160,-6535,21025,-4599
2420,-13616,6152,-616,-1297,2545
792,-15768,8740,8285,-10400,2262
1792,-13520,-2768,-2841,10220,-3598
324,-14964,16268,-6780,2116,-2049
492,-15120,8812,6702,-11097,2131
4796,-18896,2664,-12794,-28872,4275
1960,-18056,22248,-10041,19610,-4617
1392,-12268,8484,2101,-963,2867
792,-16016,9280,5831,-10916,2154
-2552,-14220,-11172,-1122,13021,-2794
244,-15456,15636,-9753,3064,-3642
1104,-13736,11240,6554,-11621,4991
