ax,ay,az,gx,gy,gz
-148,18700,-3940,-532,30492,-22355
1456,9288,8036,-6903,-8494,-1396
-6060,17228,-6472,-4293,-4097,-3110
1040,17884,-9828,1838,2670,-1897
5236,14964,10956,2492,6660,-272
-7216,15572,-14556,-233,-5588,9985
3096,21616,9856,-12021,9755,-10855
2472,18032,1280,3449,-32768,8892
-4140,11632,-2124,-5636,31905,-5486
2376,17864,-10304,1527,15357,2285
-5068,14276,-2688,7400,-32768,10030
-3256,14560,860,-11098,28318,-11404
-1716,12028,13156,-1173,10237,217
-7776,15472,-13712,-2654,-11705,8855
1476,16780,-3864,-3175,10231,-2614
2440,17956,2656,3080,-21100,375
-5220,12784,-3372,-1623,5667,-1046
1580,20248,-4728,2470,20827,-8616
4592,16200,2744,-7926,-18577,478
-2300,19936,-1252,1695,-10988,11903
-564,15760,-4116,-4411,19736,-7535
-5660,12376,10032,-7108,24552,-2103
728,17732,-3884,4697,-26540,9236
-1968,10692,176,-1787,-1338,2486
4636,21668,-6580,-4725,15999,-13186
1972,14200,6060,4012,1670,501
52,19320,-6904,-2337,-19299,10035
-1524,14004,-880,-2299,10788,-6008
-676,23340,832,6271,28071,-5925
-820,13832,-516,2929,-28780,11891
-4416,10644,-5456,-13113,87,-2027
-424,19084,-12220,5201,23103,-8508
2536,13104,14808,-410,7769,-5379
-6516,13940,-15664,-1059,-7402,6173
600,14628,-4536,-1721,3277,-6568
5700,19816,5956,6782,252,5133
-10096,11596,-11972,390,-18008,4775
784,14768,-3068,-5733,14119,-8255
5632,16092,2020,1131,-7049,4838
-6336,19360,-8228,-2180,-16092,10295
-820,16164,-3888,113,15442,-10825
1632,15324,7744,5396,-7802,4098
-6004,18508,-9452,-1836,-16246,6199
-3400,17028,2696,3697,16758,915
-764,15556,-4312,1752,-32768,8275
-1144,16184,-2420,-1369,2213,365
-1652,18364,-3552,4989,31906,-13876
3184,16812,-160,3925,-18064,4807
-4812,13116,-7280,-1692,-4475,5066
-3872,18748,-7072,6865,23286,-9662
1596,17408,2932,962,-32768,10460
-2960,15192,-3144,-3228,1481,418
1216,17868,-11700,-15266,9282,-9163
-13480,18540,8160,11179,19596,-762
-2372,16744,-20,11853,-32768,6501
-1780,9908,-400,-10453,25066,-454
-604,19744,-7696,-282,12158,-2692
936,13532,-1112,13235,-32182,5708
-2836,11508,-1804,-8949,20046,-2419
-4952,18320,-3060,-823,18113,-4780
-64,14528,-2860,5170,-30528,2783
-5256,16016,-1440,-3514,15362,-4232
-2260,16832,-14404,8956,19463,-254
532,14624,2792,12079,-32768,5233
-6700,11904,-4724,-5863,11821,623
-1632,18584,-10500,1850,10643,-2817
-536,15508,760,1987,-12832,12
-6276,11956,-7104,-3843,3224,787
-740,18228,-9416,2145,1959,773
-3888,11492,3720,-708,-20731,4620
-3932,12296,-4028,-2041,28455,-5044
-2180,17052,-11188,891,14448,-671
652,16096,11416,1975,-18524,5318
-6900,10664,-13064,-2978,404,-2756
2364,17612,-2544,-844,7862,-7334
-2000,13732,3928,819,-11981,160
-5308,12644,-8428,-3618,5457,3330
124,17328,-5124,-1925,423,-1039
-1156,16820,5532,-5073,3690,2325
388,20124,-17312,9983,704,-3843
648,12784,-1964,-4465,-19,1111
2800,17448,1228,-10373,4641,-829
1568,19212,-8780,6426,-19622,1953
-3472,12652,452,-5663,12920,-212
1500,18260,-1792,-5465,13061,2213
-1916,20548,-8496,4943,-28197,3160
108,16628,1692,-1698,7042,-3519
-3388,14672,-9448,3166,16065,845
0,14820,232,4852,-14805,-664
-5984,11348,-6832,-1567,15972,-3484
1476,17524,-7232,-534,-3849,2537
-5768,11640,1224,-5038,-14638,-2043
-2932,15600,-2532,804,22428,-5475
-3040,15988,-12892,685,-4656,2364
-5028,11836,5408,-3804,-15094,4932
1692,17636,-6956,-2647,12266,350
-1232,16380,-8724,62,11939,-5022
-3328,11280,2524,-3241,-20902,-1421
-556,14188,-5732,1940,12036,351
124,17648,-7760,3353,15112,-4241
-2452,13284,5880,-2632,-13075,-579
-3940,10392,-13348,935,18343,-4741
-3384,15876,-5908,5000,11488,-8238
-280,15116,4920,2178,-28697,2747
-4568,13212,-8624,-3785,-1859,9808
-144,15316,-5720,2397,12121,-7808
5120,16648,8672,-8790,9757,-2970
888,17564,-12816,-2682,-12955,6912
