ax,ay,az,gx,gy,gz
3404,22280,3868,2977,18791,-9484
2396,17692,-3296,7877,-31204,8508
3876,20796,-3208,2473,23972,-14339
4464,17564,4592,-486,-11853,2444
-4424,9728,-2088,-5151,23210,-7590
1984,15832,-3876,1074,19652,-3745
-8248,12488,-15084,-2964,-16090,9920
-448,15852,-7072,1106,3986,-84
3336,17884,-4296,1751,-27404,8087
2248,17696,-5876,-2681,14806,-4901
3832,14944,2768,1703,-18546,3066
-2836,12912,-8960,-4749,23796,-7310
8848,19832,-208,4661,-10225,4106
-15012,12380,-11100,78,-10737,16021
7800,17460,400,-10712,6727,-9241
748,16644,-796,5668,-32768,9029
-4776,13492,-8532,2422,32767,-7320
10160,17948,5392,-5434,-16893,-3183
-6192,9256,-16444,-988,12495,1629
6456,18424,4728,-705,5904,-4293
-3828,18292,-8344,-1707,-23706,13716
-3184,12944,-4204,-463,21354,-6682
748,16556,748,4004,-9013,3004
-4032,13652,-19356,13180,-37,12327
4980,14352,796,2788,18290,-5375
6396,9376,-14528,5300,-7640,7354
-2020,6084,-12260,-445,-1468,-2047
10492,14052,-11116,3054,2737,-5959
2392,10568,-7016,-4634,-5704,10619
2064,14132,-13744,-3804,4237,-19524
4788,13008,-9348,2752,-13902,6337
-3964,7144,-8832,-11581,21699,-21093
476,14620,-10436,6602,-32768,16173
-1512,11404,-6344,1063,22695,-15036
6268,16400,-3680,5678,-16014,7490
-11872,4080,-11832,-3884,14945,-11009
7368,15324,-8364,395,-197,-2422
-21172,8044,-12292,-6295,-3662,2381
-312,15788,-4288,-12477,13272,-5205
-5540,17740,-9276,5523,-21622,10248
1076,15892,-2704,-3294,15092,-6155
1368,16436,-4700,6786,-5750,5135
-10316,4628,-8412,-11170,19699,-17748
7764,17944,4888,-11605,4098,-6971
-13764,10244,-8388,-3183,7740,1773
-1484,18232,-2320,-4904,7168,2935
-9512,17044,-6688,2741,-24608,12046
-292,16564,-2296,29,14568,-11316
-220,17308,-1396,6625,-15538,3665
-5496,11936,-5408,-4178,19733,-5312
4416,16324,-2464,-7237,11668,-1491
-8832,17364,-11844,7,-19933,12495
-240,15936,-3372,1270,5788,-5736
-436,16196,-2416,8571,-20495,1718
-6720,10292,-4940,-3145,13866,557
-1484,17848,-6464,-4045,9542,-4461
-304,16560,-2808,7590,-30005,8510
-1064,17316,2256,-1570,6583,-5200
-4100,15908,-1768,-1260,16509,-2756
580,17660,-5112,1075,-24695,8795
-3108,16572,-3304,-2624,15830,-4582
3872,18884,4968,-975,4621,-1420
-10252,8928,-12196,-1664,2071,2202
-2380,15284,-2188,-5393,8475,-4330
-5348,16956,-9180,4094,-28161,10880
-2848,14200,-2316,1019,15927,-6453
136,18064,-108,7643,-19455,2339
-3648,14848,-4392,-2563,21964,-2155
