timestamp,ax,ay,az,gx,gy,gz
0,7344,-15108,1400,-2790,-236,-609
10,6768,-14588,2728,-9393,8979,-112
20,4932,-16240,3908,-13678,20755,1830
30,5252,-13328,-5428,-11084,1570,-1579
40,7192,-16796,4060,-12728,24479,-1624
50,7796,-15308,2576,-11630,19059,-5889
60,11076,-12492,7212,-11952,15506,-7632
70,11100,-8536,9280,1229,904,-2842
80,9652,-23100,15736,32767,-19245,11266
90,12692,-12728,4244,14991,5727,7145
100,11608,-14988,9444,3071,-1737,6971
110,6864,-15280,5932,-6813,442,2351
120,8152,-15184,4212,-14213,7676,-736
130,7780,-13780,3992,-12040,12375,-4605
140,9384,-13676,4880,-6656,15329,-7401
150,8572,-10772,11060,587,11001,-5000
160,3560,-21216,6148,17837,-27261,11303
170,9576,-14700,3728,1322,-2123,6371
180,8016,-14508,6540,-6217,-3662,4007
190,7540,-15208,3256,-5065,1503,2899
200,8020,-14836,1764,-2387,2168,-764
210,8024,-12084,4448,-1953,421,-1995
220,8140,-15776,3596,-3112,3345,1753
230,7880,-12348,3036,-4542,-966,1455
240,9432,-16956,-1600,-2270,-688,-2528
250,13804,-18408,708,-4,-1698,-9831
260,6692,-6624,-424,-510,1889,-9399
270,6892,-7752,2188,-1224,7613,8447
280,22800,-24520,5488,-6214,20,3510
290,7192,-10008,-1992,-347,541,-3899
300,4472,-5076,828,-2361,3888,8637
310,16580,-25744,6448,-4844,-6407,1264
320,4276,-10036,2032,3005,-2516,-3790
330,5456,-8192,6300,5142,2464,13304
340,12684,-25564,7496,-5549,359,-302
350,8936,-14752,4336,-5619,41,-13172
360,6180,-4536,2140,588,6770,1269
370,10160,-12740,836,-1796,-8479,9636
380,15404,-21488,4676,-459,2885,-3481
390,3756,-7812,-940,-1405,2131,-5207
400,3440,-9544,1768,-870,936,8545
410,15068,-21812,-1148,-2250,-3944,3004
420,6160,-12148,-2324,-2345,-654,-2522
430,3904,-11628,2672,-747,-3371,1501
440,12372,-20740,128,-4372,1059,-2479
450,4272,-7136,-2868,-1264,-2088,641
460,7968,-17068,-3880,4515,-4238,2805
470,9148,-20236,-1784,-1377,3571,45
480,5396,-9264,928,-703,-285,-475
490,8944,-19328,-2872,-920,-4429,952
500,5548,-17536,-3488,-1233,9249,-6637
510,10056,-13796,7248,8934,6584,-18627
520,5660,-7440,16784,8221,-11121,-1412
530,18992,-9220,-20160,25412,-32483,8671
540,12524,-14404,-240,12505,-15472,5162
550,7512,-17516,5300,4685,-1839,5695
560,3492,-17732,1552,-3793,5291,1577
570,7384,-16580,4508,-15309,10734,-2300
580,11532,-15392,6156,-6562,9859,-15757
590,7900,-4524,14792,-3001,5712,-12105
600,10092,-21640,4976,30061,-10127,14722
610,11928,-13428,2996,4505,-4666,7363
620,10420,-11820,7724,-5755,-3428,691
630,11616,-14076,6008,-12685,4069,458
640,10168,-12300,7252,-9408,12741,-6340
650,6020,-6072,15544,9926,-6393,709
660,6360,-18156,-5924,10772,-29659,7175
670,8640,-13768,11008,-2532,6509,1515
680,8092,-14024,7188,-10234,1329,-1878
690,9564,-13260,5008,-14301,8251,1318
700,8836,-16068,4564,-10229,10956,4236
710,6856,-13716,7108,-8798,14111,-4553
720,9804,-13872,-772,-9577,4996,-5215
730,6148,-13332,-784,-3752,10203,-1545
740,9380,-15564,5860,-9318,13915,-1265
750,9728,-14928,6704,-5579,12042,-3487
760,11628,-11416,9184,8392,331,-4674
770,7364,-8028,10692,14456,-12019,4322
780,11536,-16048,3012,27538,-22290,12317
790,9532,-13996,1312,5211,-4855,7449
800,9400,-15272,3036,-7086,-1785,3135
810,10404,-15036,7652,-16713,8941,-8743
820,9884,-9672,6696,-6201,8418,-9995
830,9756,-8880,7272,7691,-291,3241
840,8696,-16056,12600,16369,-11521,19899
850,4736,-15104,-12304,2623,-32768,4193
860,7512,-15784,7020,-10850,2742,2071
870,4572,-16448,-2264,-12004,18332,4505
880,5476,-15468,-1496,-6877,15742,711
890,6444,-16232,2520,-4507,9821,-674
900,6348,-12728,128,3818,7557,-2459
910,9520,-15156,7432,-7366,16620,-1147
920,7368,-14692,2808,-13942,12853,-5513
930,10736,-12828,2956,-10930,10661,-3669
940,10000,-10760,3272,3523,-5034,-3062
950,12576,-10940,-1096,7801,-1357,250
960,13128,-12368,4072,1299,4709,-5494
970,12928,-12472,6184,1865,553,-7337
980,13068,-6516,6868,11637,1225,-7600
990,9456,-4192,9804,20557,158,6211
1000,11944,-10724,5260,25494,-17096,27373
1010,12780,-16424,-4676,4003,-11748,14830
1020,10140,-15496,-380,-17202,6590,8892
1030,6400,-16244,-1932,-11999,10803,5910
1040,6680,-16532,-708,-2037,10310,-246
1050,5520,-15444,48,-3955,12178,-2925
1060,5036,-14788,5380,-17262,14973,2269
1070,6588,-15108,-988,-4090,10831,-480
1080,9184,-14636,2596,681,7473,-3646
1090,10068,-15136,3324,3350,5721,-5880
1100,10920,-11612,5904,4138,442,-3956
1110,11984,-12524,6452,10894,-7138,-3978
1120,11216,-9276,4368,15224,-11777,-5301
1130,9404,-5340,3936,16815,-6180,9390
1140,8192,-18128,3388,16209,-18708,24570
1150,10520,-18696,-2788,8575,-9443,9383
1160,7112,-15820,420,-12852,6914,-3612
1170,8472,-14116,3668,-12040,14792,-5970
1180,11484,-12132,5152,-3760,9971,-7451
1190,11864,-10040,4976,1212,4647,-7331
1200,11856,-8200,7104,8509,1544,-2157
1210,11728,-8084,7832,13541,-3538,5191
1220,11620,-9736,7340,10856,-9302,9899
1230,12560,-11244,6928,3525,2241,7766
1240,12112,-10892,8112,2345,-3884,1433
1250,11892,-12036,9992,12415,-10752,1807
1260,11312,-13372,3816,-4022,6137,1612
1270,10920,-12348,6764,-6385,-445,5358
1280,8884,-14568,2664,-14156,5297,4048
1290,7884,-17356,704,-21077,15808,3250
1300,4480,-15904,480,-14606,18842,4981
1310,5344,-16284,1012,-8567,20372,1776
1320,9092,-11516,6448,-1641,11282,-2143
1330,11092,-15648,5032,-686,10480,-3722
1340,10336,-10636,9620,5380,6523,-8396
1350,10804,-9020,12984,18585,-2078,-3777
1360,8004,-6816,10896,22052,-9791,5679
1370,9428,-8464,8876,16555,-4209,16644
1380,12320,-12692,7220,6904,-7828,12719
1390,12312,-12112,7572,4606,-7226,6274
1400,12656,-11564,7696,7669,-10483,3613
1410,9836,-14380,-3864,-3836,-2259,2876
1420,9808,-11040,3368,-6389,-9687,5113
1430,7696,-15332,48,-13507,12418,6654
1440,7724,-18708,3184,-16581,25627,-151
1450,7936,-12920,5560,-18275,19636,-6623
1460,9736,-15332,5080,-21402,10011,-286
1470,12500,-10060,2264,7019,12196,-9356
1480,12268,-8780,10080,17446,3569,-5036
1490,11516,-5312,11380,14319,3227,3676
1500,5996,-2468,14844,22269,-8595,21579
1510,11360,-14356,5164,12712,-32768,24020
1520,10028,-14072,7944,1967,11186,6307
1530,9012,-14520,4840,-7220,1138,-436
1540,7660,-13244,6592,-16052,2245,-2817
1550,4924,-15296,4080,-20621,21937,4828
1560,7084,-20816,96,-5649,11807,-855
1570,7092,-13052,3680,-12111,18699,-6496
1580,9388,-14520,5972,-5407,18914,-6415
1590,11248,-10176,10876,1986,9779,-8500
1600,11968,-8952,9364,7920,-2562,-5230
1610,10508,-5684,8840,11646,308,415
1620,8664,-4912,12464,11970,2001,11817
1630,5872,-12960,13100,8022,-4753,32767
1640,5600,-19652,3064,-4232,-30713,19222
1650,7144,-16472,7800,-8425,5793,3567
1660,2772,-16368,-616,-11682,-794,2809
1670,4248,-17952,6776,-8136,15492,-2987
1680,3560,-15136,3376,-9201,14240,-2117
1690,6164,-18596,3216,-3053,11826,-2076
1700,5924,-13860,4580,6270,3615,-10004
1710,11032,-12796,7268,4740,2552,-5249
1720,12340,-11028,8700,7409,4386,-8443
1730,11600,-6408,12748,10814,5784,-9693
1740,8444,-1424,9960,12282,-1357,404
1750,6892,-1680,11008,5897,-3205,20213
1760,9404,-12308,12492,-683,-18358,32513
1770,13772,-15148,-11520,8454,-823,11256
1780,7312,-16584,1120,-2580,-3692,-4930
1790,6780,-13312,3420,-11874,11595,-4126
1800,7268,-14492,172,-14185,11573,4216
1810,5056,-17028,-132,-9486,12222,3726
1820,5244,-14360,1568,-3864,16009,-5289
1830,8556,-15612,5520,-3714,14809,136
1840,8436,-14016,6516,-4998,-2034,338
1850,10092,-14528,5996,-1065,2937,-4274
1860,10384,-13332,2404,2460,2366,-11001
1870,11660,-7416,11236,16241,2298,-9812
1880,10580,-7080,10520,17829,-6794,6194
1890,11200,-8372,8148,7874,-7094,12099
1900,7156,-16396,6116,21639,-12055,29602
1910,11780,-17488,-10012,10488,-3057,12186
1920,5980,-15560,5728,-2051,-2196,4675
1930,3832,-17756,2244,-6571,8361,2944
1940,2472,-18056,-72,-10927,13761,1821
1950,2432,-16896,3004,-7038,18538,-4749
1960,3992,-14812,3008,-2889,17059,-6429
1970,7208,-14276,5504,-6627,15597,-4898
1980,8448,-13640,6408,-7027,11312,-302
1990,8628,-18060,5156,564,-563,-949
2000,10160,-13368,808,-3951,191,-7467
2010,11760,-12460,1664,559,2727,-6730
2020,12884,-8312,4328,7963,422,-5408
2030,13088,-9516,7316,8547,4479,-1907
2040,12448,-6112,9372,11697,-2547,-2322
2050,8948,-3348,9620,11401,-2311,8583
2060,3672,-4196,13268,19573,-8433,28299
2070,-3044,-32484,1144,39,-28289,18924
2080,9684,-17156,10524,-4566,-183,-888
2090,6080,-14296,1124,-6344,-1961,-818
2100,7244,-14052,3192,-10390,16186,-3184
2110,10072,-12412,6856,-1993,8734,-17049
2120,8428,-6260,7568,-6322,6859,-6309
2130,8632,-9600,6452,-11155,9663,6807
2140,17068,-17400,17308,-3364,3668,-7147
2150,9576,-8420,5140,1929,716,-7302
2160,5176,-4572,2320,-1308,-2730,5299
2170,15292,-21096,14428,-10435,10781,15342
2180,11664,-16272,6308,405,-1314,-11890
2190,8596,-8368,5216,2524,1329,-6267
2200,7288,-7008,4176,-4308,-2069,9239
2210,12444,-20884,6196,-6420,1293,9005
2220,10888,-15960,3664,-8,-262,-10779
2230,4772,-7540,1660,-501,-1833,-7733
2240,6956,-9128,1084,1753,17367,6832
2250,17700,-20360,15476,-3197,-17086,-5385
2260,10980,-10428,3220,-1530,-6089,-8832
