timestamp,ax,ay,az,gx,gy,gz
0,764,-4860,26364,264,-9011,3236
10,2380,-5740,17064,7933,6306,1382
20,5928,-2348,17656,7175,-10473,-1479
30,252,-6440,14344,-12313,12307,439
40,-772,-8376,23328,-1663,-16511,940
50,2940,-6660,17516,10804,2900,6019
60,5164,-5924,16912,4612,-3700,4825
70,-140,-10020,22432,-12358,3265,-9640
80,940,-11904,19492,-508,-1353,-289
90,1608,-6092,14236,7079,4339,-1141
100,-1132,-5468,18128,14831,6837,19699
110,-1412,-8240,-1224,-16186,20150,-13448
120,1800,-6684,24968,-4969,-9079,-7355
130,1908,-7384,11512,4841,1076,246
140,1132,-6124,20684,7732,1227,6496
150,12180,-3796,5132,-1404,-32768,11361
160,-488,-2300,24240,-13534,10235,-12011
170,1888,-5456,14784,-6326,-56,1781
180,2196,-8872,15628,3214,2166,6678
190,4788,-5600,16016,4464,-4016,4507
200,-2548,-7068,17360,-7997,12889,-2575
210,2660,-7340,10948,2379,-11136,-929
220,-2052,-5296,24828,10160,-763,7905
230,1020,-8712,-4756,-20093,-16592,-584
240,4832,-5528,25148,-4637,-2149,3592
250,876,-5156,17132,5270,5879,-4380
260,1484,4564,14028,8078,-7433,17951
270,1776,-4108,20676,-8685,4326,-10498
280,-472,-3464,19624,-11088,4255,425
290,3192,-8156,16476,249,-4305,-3222
300,808,-8144,16196,9613,6085,-457
310,7784,-10040,2364,-5864,-23551,-4815
320,-1872,-7552,22664,-19262,9110,-6720
330,292,-8588,17652,-257,-1656,-5278
340,788,-9600,19320,17909,3464,7701
350,5140,-464,1260,864,-32768,9588
360,-4028,-12288,32767,-20107,10466,-19962
370,-1100,-7960,18252,-2330,-580,-8156
380,1788,-9704,15996,12316,3124,10299
390,1404,-4208,19500,14970,-6949,7260
400,-16,-8344,14900,-11221,11568,-11558
410,552,-6884,20972,894,-17402,-3032
420,1716,-6840,22744,8913,4937,6724
430,6796,-668,7360,1921,-25823,-492
440,-5304,-9876,32767,-12107,24606,-12222
450,4508,-7964,12608,1057,-18725,544
460,3108,-7064,22128,3605,-3539,14105
470,4700,-5900,5708,-13034,628,-2986
