timestamp,ax,ay,az,gx,gy,gz
0,2900,-14312,-1316,-399,14634,-3504
10,3464,-13112,4264,-1850,6200,199
20,4884,-14316,4084,-1928,-5383,-1140
30,1468,-8332,-372,-6137,-11861,-3296
40,5552,-15156,-8444,-11692,-615,-3274
50,1588,-11888,-14168,-14660,9786,-21593
60,13260,-5884,-16584,-11963,5622,-12921
70,16264,-1540,-13608,209,5592,-9402
80,19660,-1264,-1744,2462,2908,-1742
90,16340,-2432,-2480,4666,2272,-4556
100,13668,-152,-8160,-5368,-4901,12989
110,13684,-7616,-4484,5346,-3080,18702
120,2620,-15236,9332,5950,6644,2309
130,1852,-12528,12336,429,-1232,999
140,1696,-15616,12608,-6817,3783,-1204
150,1152,-14724,4744,-14697,1805,-1060
160,2944,-20132,3380,-15197,859,-5241
170,4916,-18924,-8712,-6322,193,2163
180,2312,-16928,-9364,-511,-5068,5675
190,-648,-16380,-10232,8834,-3639,651
200,448,-13384,-6948,1885,7615,-4408
210,2716,-10640,-1392,5738,10152,-1369
220,2352,-11436,2832,5394,11311,968
230,4024,-15576,10376,3011,-3795,1898
240,11340,-3972,-8832,-11782,-14664,-8213
250,4088,-18860,-10888,2988,-6699,6138
260,988,-20332,-8552,9254,-8001,2184
270,1028,-12812,-2440,-1285,13708,-4627
280,1144,-9612,-580,3042,8746,-1020
290,2216,-12160,4220,3361,11935,2248
300,3288,-17832,8716,927,3213,2714
310,2392,-15324,6352,56,-5588,1021
320,1608,-9396,4744,-6106,-13660,2963
330,216,-12696,-4184,-990,-7916,6185
340,-512,-17508,-1576,-2618,4528,-1533
350,1324,-16804,-2160,-4899,-1690,-8542
360,1716,-11096,1896,1827,11366,-908
370,3400,-17060,9636,400,4457,4085
380,2176,-15068,4548,-134,-7865,-352
390,2200,-11100,3728,-4012,-7962,4278
400,468,-11140,-1732,-1408,-12156,5517
410,-1208,-18048,-3948,-4253,7570,2200
420,-556,-25328,-2980,-1605,1686,-4248
430,2356,-17020,412,13541,-7213,-4107
440,3248,-21748,13912,8820,10235,-1323
450,2944,-7980,7320,6790,1766,937
460,2700,-15736,18068,-54,5074,-2557
470,3056,-10312,11376,-1186,578,-396
480,932,-10868,1464,-9323,-6510,4328
490,-676,-13924,-188,-4122,-4668,5973
500,-2600,-17164,-3876,-2207,5297,1586
510,-3164,-18600,-4524,-3620,-2728,-5261
520,564,-16088,-5812,6437,628,-8515
530,3988,-19492,-5140,11312,3687,-5328
540,3988,-8168,11764,8249,-689,3219
550,2336,-14532,17080,6445,6469,-1833
560,2168,-10892,11884,-23,-784,-3605
570,3744,-11512,14756,-7579,3035,-5686
580,3308,-13868,11732,-13242,182,-4115
590,4396,-19960,7728,-24175,-950,-5459
600,260,-16348,-4168,932,-404,-5130
610,4088,-21292,-5292,10525,3788,-1592
620,1768,-15176,13216,7326,1035,414
630,2144,-16044,11688,4703,1853,440
640,2092,-11152,12424,755,-342,-3187
650,3116,-14184,11792,-3066,1178,-997
660,4332,-11048,9872,-11856,-4400,-1652
670,4212,-18460,4616,-10138,721,65
680,4020,-17168,680,-13187,731,-5371
690,6480,-16076,-9888,-1717,-4455,532
700,4496,-18064,-11036,5431,-1794,5370
710,2780,-18016,-7060,10321,-5606,3157
720,2132,-11384,10036,7323,4449,-364
730,1792,-11132,13332,1736,-2403,-1479
740,2352,-13196,11716,-2860,2525,-230
750,2532,-13192,11780,-5976,45,-2053
760,1680,-13728,11648,-9598,577,-3498
770,2648,-15856,5512,-5947,-5340,-4253
780,4792,-13768,716,-19271,-5561,-4950
790,4764,-18268,-7516,-2276,5332,4820
800,-2176,-24984,-5712,12228,2893,4992
810,-548,-11948,-7124,789,18484,-7481
820,908,-7128,-936,4113,10966,-3715
830,1680,-11520,6984,4230,18297,987
840,164,-14000,15064,-2763,765,-933
850,548,-13284,12324,-8426,-105,-3552
860,84,-12644,10656,-15325,653,-4320
870,2788,-16048,4720,-8711,-4766,-5825
880,6608,-14936,-15288,-6856,-9500,5971
890,1680,-21692,-6976,4483,-7022,7076
900,1712,-21096,-1708,3639,-4167,1655
910,380,-12400,-156,-3060,5162,-5755
920,764,-8756,-2212,2079,17344,-2539
930,1976,-11876,7980,1900,16340,-627
940,1720,-15912,3692,3731,-3898,6411
950,1708,-16388,6268,956,-8247,1039
960,1908,-10096,11832,-12127,-1764,-748
970,776,-14772,8996,-14664,-6803,-194
980,2400,-21636,-4384,-5396,7570,1441
990,-1604,-22604,-3724,6894,-2532,6386
1000,-1344,-18164,-2448,-2473,17445,-12608
1010,4,-7448,-2024,2611,9612,-5645
1020,320,-10704,1632,3377,18109,-843
1030,2032,-15424,13604,-2323,1667,3509
1040,1556,-16640,4156,587,-7880,2461
1050,1304,-14668,7480,851,-6923,3528
1060,-152,-10644,5252,-5399,-14683,4422
1070,-1600,-12700,-3128,-1599,-4172,6382
1080,-3908,-23452,-5756,5627,-808,6043
1090,-480,-18032,1372,-26,14193,-8835
1100,-912,-10212,-2280,6981,2444,-8665
1110,680,-9416,-1196,2679,18266,-3295
1120,3452,-15232,12652,-2516,4586,137
1130,1932,-15740,5548,2681,-2408,5640
1140,1584,-14328,5496,593,-4350,602
1150,2364,-13560,9600,-132,-7560,2302
1160,600,-13024,4836,-9016,-8289,6064
1170,-3268,-10548,-4232,-9097,-8242,7668
1180,-792,-19544,3452,-816,11209,-887
1190,-3272,-17948,-120,3952,2545,-3165
1200,1444,-13512,-2192,468,2095,-10081
1210,-108,-10332,-3860,-950,9617,-3007
1220,-176,-8516,8364,6349,25185,-5559
1230,1464,-14260,10572,-411,5395,1172
1240,1044,-15760,7220,-3748,-5886,3936
1250,1124,-12836,8616,-6867,-7139,-777
1260,-1968,-5564,320,-9878,-17608,5141
1270,-3512,-18752,-8848,4753,2836,3684
1280,-4228,-20480,-2316,-2623,-14438,-1188
1290,2996,-13684,-2252,5838,-192,-10752
1300,1544,-16428,-3128,10401,-1483,-9785
1310,7792,-15440,15048,9670,1849,3532
1320,4768,-13360,10268,-501,10024,-2966
1330,2836,-15024,8040,1051,-2711,4600
1340,1316,-15944,4604,2109,-7458,3377
1350,2468,-13444,6744,-3893,-5364,3542
1360,-2616,-7284,1180,-6062,-13888,9615
1370,-1988,-18348,-2712,-4443,8972,7921
1380,-5156,-23452,-2688,660,-7104,4113
1390,-3352,-15492,-1236,8198,-2868,-10037
1400,-6252,-28276,28608,15705,25853,-5193
1410,4692,-6272,10776,8180,608,-2375
1420,1536,-12536,19812,3920,295,-394
1430,2028,-6608,13764,570,1068,-1484
1440,1108,-12916,4068,-2357,-3922,90
1450,532,-7128,-3196,-7886,-14330,6759
1460,-836,-17060,-396,-2909,2309,9846
1470,-9480,-24520,-2200,8843,-7551,1777
1480,2668,-13024,-376,8815,-2092,-5561
1490,928,-14744,832,20670,2149,-7238
1500,3652,-6428,12828,1859,7,2192
1510,-112,-10964,17172,7881,567,898
1520,-1188,-8164,12616,1123,-9147,2318
1530,968,-13060,18368,-4185,845,1506
1540,1284,-8328,13540,-1172,-5437,-2550
1550,1656,-11848,12312,-12221,-3347,-1187
1560,-4312,-21040,11752,1504,6844,-3692
1570,-5360,-26972,-780,2664,115,-5315
1580,3688,-14304,5940,14207,4106,-3707
1590,1304,-5984,15228,1909,3323,6404
1600,-952,-9092,17596,9592,1747,1553
1610,444,-8432,14300,1138,-6210,360
1620,576,-10352,15712,-5236,1805,-246
1630,1828,-7388,16984,-1468,-631,-6758
1640,3300,-6592,12104,-11965,-1115,1833
1650,5708,-8632,18016,-23303,-3041,-9947
1660,-940,-19716,-15436,-9849,-1177,3191
1670,-2684,-23928,-4708,-276,-142,7585
1680,3940,-24864,14444,11547,13090,-4771
1690,2540,-8872,18100,7792,2657,-2135
1700,4904,-5912,20784,8206,-471,363
1710,3252,-8180,14860,-3210,5074,-2252
1720,3456,-8652,15416,-6155,-1741,683
1730,2940,-11768,14072,-10005,1415,-932
1740,3564,-12968,10496,-11962,-3202,-1048
1750,3964,-13016,5900,-16500,-3012,-2149
1760,2536,-14324,-8532,-13023,-64,9631
1770,-4128,-20944,-13960,1447,-821,4628
1780,3692,-23792,-1996,8180,4669,6972
1790,1676,-15120,-2964,-2882,5979,-12352
1800,1072,-7152,10976,10488,-1113,4530
1810,2508,-12988,22024,9826,5177,477
1820,2508,-5628,12036,993,-2386,-396
1830,1096,-12764,18092,-2590,1396,2114
1840,1632,-10632,14104,-2688,1584,-4522
1850,4588,-9832,13652,-3958,3205,-2585
1860,4048,-11052,16952,-11700,-6510,-883
1870,4188,-11016,10584,-14494,-3974,-114
1880,1256,-18072,-964,-11319,2992,271
1890,536,-18668,-11968,-3316,-4082,5462
1900,784,-21136,36,1641,12432,696
1910,528,-17136,-4240,2465,3578,-11138
1920,5100,-9012,19028,7840,7065,4564
1930,2808,-11124,15332,12796,-1242,2464
1940,2156,-7716,17364,1849,-2275,483
1950,2200,-10348,15616,-4412,3662,860
1960,1544,-11168,15656,-8853,447,-2823
1970,2932,-11684,12464,-12692,-1132,-3554
1980,-2556,-13504,-676,-19944,-2666,5222
1990,-220,-19956,-7468,-5067,-514,8796
2000,-2632,-22548,-3568,6143,-1692,5932
2010,2628,-21108,-1336,4148,4556,8852
2020,-620,-14412,1748,1467,6986,-11428
2030,172,-10896,-3676,-464,6762,-8603
2040,1700,-3988,11112,-2521,-508,-1454
2050,2888,-8576,20992,-1718,-152,-3505
2060,2148,-6644,16384,-5139,2220,-410
2070,2744,-13176,10812,-23523,-2043,2697
2080,4912,-10044,-676,-22534,-5807,2288
2090,1800,-20356,1332,2659,11874,2466
2100,380,-25572,-1732,-2356,9186,9688
2110,-2336,-18580,-2556,-1066,9609,-6693
2120,-164,-10636,-3712,4809,9771,-6713
2130,-804,-10724,1124,568,17833,-7808
2140,5376,-15176,7368,-976,7209,1134
2150,3740,-14960,7384,41,654,1824
2160,2028,-9392,14420,-6319,1515,-211
2170,1696,-10396,15412,-8252,-2944,-1935
2180,3224,-12680,15928,-16537,-363,389
2190,1616,-13128,6244,-16597,-6540,-42
2200,2896,-16744,-2920,-12145,3307,3586
2210,-3692,-17516,-14324,1970,212,4120
2220,176,-32272,-4092,880,-8721,64
2230,1048,-14808,-1456,2187,3195,-9478
2240,504,-9028,-1472,-483,14300,-5868
2250,5720,-12536,3232,-1273,11864,-8945
2260,3752,-11900,8864,-4064,15137,207
2270,4732,-16496,4492,140,-5303,6995
2280,2140,-11420,15744,-4225,-215,-778
2290,2016,-10788,14932,-7006,930,-2903
2300,6184,-9776,13336,-14462,-5103,-10965
2310,3772,-13700,4452,-20737,-6832,5512
2320,3500,-14252,-3828,-12616,-2594,6091
2330,-328,-20632,-9712,4099,-2352,8564
2340,2012,-25696,380,10162,7105,3385
2350,488,-13500,-4452,-3062,2947,-11746
2360,-1160,-5908,-344,6611,24916,-5435
2370,1628,-11832,8936,4933,20492,-2539
2380,2808,-14436,9268,-3315,43,682
2390,2784,-15672,8128,-5487,298,922
2400,5468,-13060,10064,-3442,9270,-3383
2410,3384,-6408,16192,-14956,-21578,2619
2420,5628,-10088,5484,-10759,-11083,4796
2430,-300,-17584,-3792,-10218,-3988,7637
2440,-732,-17504,-7468,-2527,-8559,9373
2450,-3488,-29836,4260,-6631,13482,3192
2460,-708,-17228,-1632,-132,4509,-13213
2470,504,-8264,-2380,5538,8299,-10668
2480,60,-7480,-1988,6984,22854,4103
2490,1976,-16796,21312,-3998,11264,-1681
2500,1332,-15444,5196,710,-1284,2717
2510,488,-15992,6852,-1353,-7647,533
2520,1204,-11312,13288,-7977,-1641,259
2530,3864,-13108,13376,-12617,-3648,-2836
2540,3336,-11232,6208,-12058,-5748,5261
2550,872,-13164,-5732,-14365,2715,1497
2560,-5224,-16196,-14900,-1955,-4783,5083
2570,-1152,-22300,2304,2414,15218,-10896
2580,-680,-16740,-5912,3191,-1360,-7233
2590,-180,-11228,-9864,4363,6602,-7918
2600,-1196,-9388,5072,4003,27196,-6044
2610,2096,-14824,10492,-739,8084,847
2620,2812,-14956,7992,-4179,6205,-2277
2630,2040,-15032,5188,-5285,3107,505
2640,3644,-8612,17836,-4124,868,-5609
2650,3200,-4712,11296,-11057,-8666,-760
2660,5104,-9816,7716,-15637,-10508,-10975
2670,-3412,-18624,-9916,-2328,-66,9938
2680,-2000,-25884,-2000,-3070,14896,7345
2690,3172,-25096,-8472,-9909,7078,-5860
2700,244,-11508,-3612,-341,5227,-6775
2710,2696,-8272,1644,3747,20004,279
2720,3284,-11620,6684,-962,10074,-968
2730,3288,-15652,8704,-1487,4012,4578
2740,2928,-15836,4232,343,-5328,3581
2750,680,-13596,8452,619,-12499,2994
2760,-236,-12776,5048,-5302,-15579,5125
2770,-428,-12652,-6588,-4512,-8700,6451
2780,-196,-19736,656,-1450,5211,2865
2790,-1504,-16564,-444,898,9047,-5342
2800,1032,-17016,-2932,8351,-1850,-5051
2810,1936,-18216,-916,11984,6192,-7122
2820,2576,-12972,9360,9572,1844,2625
2830,448,-10872,10988,6419,508,2507
2840,1280,-9924,20740,2912,2536,-2822
2850,712,-10112,12688,-977,-1171,643
2860,1004,-11044,13048,-4009,2513,-2520
2870,2208,-13788,15176,-4609,-2574,-5081
2880,-1988,-15240,-5644,-1030,13678,2619
2890,-3664,-19116,-6592,-3239,-3280,191
2900,-2500,-19524,-2300,-953,-7306,68
2910,-1152,-11760,-9408,5250,9189,-11865
2920,924,-16684,-2704,13590,3786,-5188
2930,748,-13748,16140,7526,-1241,3573
2940,852,-12668,12104,9049,6565,-4427
2950,580,-11152,13808,4377,2005,-1763
2960,300,-10032,14928,-2196,2116,-4199
2970,1024,-10120,13344,-4993,-3186,376
2980,704,-15500,16420,-1928,1219,-1621
2990,1032,-6124,8748,-3754,-14983,7829
3000,-5404,-15364,-13136,-2549,-5012,8261
3010,-200,-19248,-1004,-4367,1098,5104
3020,-3616,-19996,-976,-1936,-335,-3251
3030,-3360,-17832,-6992,3091,4332,-5343
3040,776,-15388,-6216,10077,314,-4187
3050,5348,-18348,4472,13436,2289,-2303
3060,-1304,-12000,7228,5860,2,4376
3070,432,-11652,16524,11143,1191,-1668
3080,872,-8472,13716,3106,-266,1711
3090,1012,-11964,16584,-2630,-208,1079
3100,716,-10888,13160,-6040,552,-1168
3110,1520,-12172,19940,-13429,929,-1919
3120,-3992,-10996,-2408,-5460,-23891,11300
3130,476,-14660,-2040,-3224,14299,6548
3140,-3692,-18440,-1604,-5963,-1527,681
3150,-4904,-20092,-3996,3800,-378,-5550
3160,-4824,-17960,-6668,7796,-6901,-7009
3170,5088,-17532,8196,13394,6500,-5790
3180,1276,-7752,8292,5945,-351,7134
3190,1512,-9624,17112,10532,164,-257
3200,-40,-8664,17260,1723,-534,1880
3210,1368,-10704,14800,-2653,748,-309
