ax,ay,az,gx,gy,gz
3076,7164,-16556,8270,16053,-17841
-88,32767,10056,15287,3167,3884
-4176,2944,11212,-7942,24150,12777
4472,23724,16144,-32768,-28024,-32768
2500,26320,2360,-9656,-32768,1237
-7228,-2268,-19100,-122,9038,-8419
-21076,32767,9844,32767,32767,-5501
-2784,8860,2472,1334,3553,196
2060,-1096,16948,-9731,20642,14786
2700,20096,4680,-9132,32767,10150
-620,4036,-4424,-4030,13493,13431
-11768,16420,-136,18839,32767,3319
-8092,32767,6128,23046,25813,-2398
-6916,10872,9332,2950,32767,12291
6576,23288,18540,-20322,-11667,-4425
4508,25552,1356,-8140,-32768,15711
-7712,-4608,-10824,-17853,-8460,-5545
-7920,8296,-11176,12156,32767,-8599
6100,30696,15480,8341,-8389,1722
784,720,10068,-5869,10258,8742
32767,32767,16028,-32768,-32768,-3824
-892,11096,-6228,-8652,-32768,7921
-5096,6376,-14300,11631,32767,-9799
336,32767,30708,17853,8314,2788
-104,4732,8040,-5793,18361,6132
-4544,21612,20404,-20193,-26693,3100
632,16844,-11168,-6727,-29701,6403
-8816,884,-17164,3804,32767,-4195
-11368,32767,30576,32767,22155,9062
508,10456,892,-9145,13593,7386
6572,-5636,25016,-14378,-24739,19695
1700,12240,-4636,-15842,-27865,-2624
-456,-84,-11480,-6437,-2601,-14683
-10276,32767,25584,32767,32767,10805
-1804,11144,5352,5067,-6862,3994
-1028,-4752,17964,-11612,10843,17431
4416,28372,7840,-5628,-32768,4676
-10912,-7724,-15200,-21949,-7894,2958
-208,32767,1032,15090,32767,-16843
4484,17460,2928,7025,-4355,-1936
-1324,-2932,14516,4486,11905,15857
-1528,32767,3076,-11978,-32768,12096
-6828,3092,-7836,-32768,-13722,4526
5592,24576,6560,9545,32767,-7226
2900,15176,10808,8612,-30652,-1878
1168,3088,1428,-2118,-10935,5217
3744,26900,-700,-8876,-29857,2216
2364,11848,-8120,-10413,-16878,8761
5212,12408,-1192,-13059,-13183,-2220
4008,11552,-9820,741,-16574,1280
5676,31156,2176,14843,2669,-1695
1016,10716,1444,-13793,17900,-2488
-1888,7564,15184,-11873,-21543,-1872
-3284,20384,-8416,-10849,-32768,12826
-672,764,-16972,-8789,-1493,-5451
-7708,32767,8132,32767,32767,1266
292,12160,7364,3185,12999,6775
-1812,-1668,12080,9331,5844,16827
8796,31848,8648,-13948,-23024,-11214
-4356,3032,-7260,-16595,-20290,14998
-6612,32767,124,18264,32767,4311
588,16336,11552,-110,-21882,-1622
344,-1240,7828,-7667,1468,8952
4968,29808,5948,-9180,-32768,6412
