ax,ay,az,gx,gy,gz
-4616,11256,-4316,-17600,-27133,-876
-2444,8260,-3764,5954,-1659,-7951
14756,32767,-5100,11054,-1048,-6642
-3428,9180,7248,-266,-7330,10293
1520,28348,3804,-18682,-32768,-3868
3028,18332,-5476,-22473,-17297,4084
3608,5760,-14732,-2634,-7759,-2628
5192,32767,-1168,29958,2570,-47
6408,14768,7848,-1348,6179,326
-668,13544,12672,-15815,-18254,-2487
8500,25740,-2780,-20412,-21442,3634
3884,3588,-8684,-3445,-169,-8744
3968,32767,4464,27460,19411,-198
6524,19524,1172,7661,13067,-601
-4484,1144,12328,-3061,1851,5278
13536,32767,15588,-23948,-4715,-2916
448,10040,-7776,-8459,-12186,2201
-800,19460,-3420,16295,19970,-5994
5676,26020,1748,9719,12995,-2418
-4188,308,14564,-5449,11959,8108
14280,27988,10828,-20686,-8703,-10293
492,12336,-4836,-11406,-16279,352
1844,6828,-8328,9670,7361,-5913
6232,31372,1452,15960,8199,-4030
-268,10396,6836,-427,9882,4344
-5872,13496,8688,-9659,-14028,-8387
5176,27732,3276,-15433,-25345,6473
64,7016,-7616,-10196,-13738,-3946
8888,32767,6780,26344,3019,-837
8152,20452,3980,9691,-1523,5950
-5620,6660,10360,-1027,-12624,13365
2836,27196,8368,-31396,-32139,-4283
-1392,20912,-3568,-28397,-28951,4022
-572,10048,-6088,-10830,-19940,-8415
11012,21588,-8412,13290,-3904,-9925
6544,25284,1552,18403,10819,6398
4992,14260,2780,-5899,-2384,-4798
-412,1416,6892,-10632,-11198,5580
8948,28804,1592,-24598,-24156,-4229
4656,8272,-4184,-5539,-12628,-1469
2220,17300,-6648,16700,13977,-2677
4552,24740,892,11998,15157,-7245
188,5680,11272,-2100,7847,6884
4440,32767,6780,-7588,-5460,-6270
-24,17676,-1140,-12787,-7816,5576
1272,2768,-14968,-5080,-4180,-9863
8484,32767,7484,19440,10469,3547
1980,11400,9320,6403,5437,4580
-4100,14128,14312,-9549,-15426,-7041
5864,24880,3744,-18137,-19552,7310
1588,3992,-11908,-11061,-8449,-6824
5360,32767,2396,24371,12849,-2253
7436,19052,3340,3565,20188,4595
-3888,1636,12640,-1303,-1942,5459
15024,32767,16440,-18387,-10728,-5471
-2172,13428,-6536,-12089,-15757,4096
1864,6568,-9048,11725,8786,-3248
8476,28968,5224,17754,3421,-3232
104,8516,6432,1966,6737,9175
1432,17428,5292,-17837,-26399,-9851
3164,20696,-328,-16108,-22271,5228
-1236,6916,-7256,-14872,-26100,-8140
7432,32767,6376,19829,-3903,-2450
8684,16308,5236,-792,-528,5087
-7608,7640,11564,-8032,-11230,6039
1924,30884,-2368,-22404,-32768,1817
2512,12992,-7312,-17841,-14901,937
2344,12604,-11280,4010,4318,-11878
-356,32767,1840,23738,25939,2914
2976,14792,7696,-2502,3579,2791
-4940,10580,8744,-14978,-17867,-4079
5592,16632,-4328,-11961,-16752,6076
3004,2392,-9072,262,769,-7344
1872,32767,3540,24451,20464,-430
3504,13344,5528,2641,14003,3590
-3284,560,11956,-922,-435,4580
10416,31556,2092,-13851,-25466,395
804,7032,-8868,-6504,-13534,-956
2264,32767,-440,23261,14916,-2427
7000,18128,4756,8104,17674,822
-2876,1692,13832,-5627,7320,7662
11648,31440,10948,-18185,-17735,-7424
1488,9928,-6692,-9436,-10551,-1699
5304,17444,-5432,12294,4674,-2835
9224,24012,2388,10917,16244,-1732
-1704,8604,8092,-4249,8599,4663
14044,22312,9596,-21048,-11753,1391
6556,12900,-6292,-16241,-14126,4172
