ax,ay,az,gx,gy,gz
2360,-13764,3072,-2898,-3616,-1665
2072,-6956,6496,-3248,-15044,9066
-2356,-3392,-5172,-1714,-6547,8283
-3072,-23628,-7092,-559,12758,-3457
-6180,-20252,-15852,3148,-425,-15360
8012,-29124,6112,16153,-2425,344
8872,-5880,8704,14162,3487,-10625
12844,-7160,10344,1854,-4634,-2361
12096,-6728,8580,-4487,1774,1759
10376,-8176,9032,-12526,5294,7558
-352,-22744,-1520,-24714,-20840,4892
-4812,-24084,-10312,9558,13046,11381
9784,-4632,13292,8821,-3585,-8242
11704,-10208,13352,684,6006,257
9024,-6048,11748,-4961,337,5857
4028,-19048,10184,-28507,-303,15857
3628,-18332,-1300,-23069,9052,4804
-6004,-20996,-5644,1497,-17719,8354
-3872,-19388,-4432,10754,7755,-5472
-1272,-12092,-572,-2521,3800,-5140
-852,-6676,-2496,-2313,1785,-15
-188,-17148,3864,-2033,6941,1053
960,-14688,820,-2514,-6301,-440
1712,-10424,2844,2256,-1309,6424
-2000,-7272,3496,-5425,17205,-5798
1444,-9832,3216,1715,8813,-834
884,-24764,4200,643,-4527,3333
652,-13528,4504,-2217,-3836,393
2032,-8100,7292,-5028,-15374,10295
-8704,-9092,-15924,-6770,-1246,4674
-11468,-21604,-84,-10281,-1663,1268
-9324,-18044,-4344,12523,19714,-21461
1832,-32768,16364,11682,10098,3638
6976,-12016,4172,12318,-1896,-14323
10908,-8008,13604,5790,-2694,-4751
10628,-6752,8688,-6811,2998,6833
7196,-24348,1432,14707,-2415,-2911
5940,-9304,1636,16435,-4882,-12282
10476,-9392,19964,11331,21695,-3564
9204,-7448,7272,-7091,-7758,2561
9968,-10420,14888,-18266,1259,5699
1484,-16536,9796,-27163,2980,8396
-2192,-21888,-5224,-348,587,4620
-3860,-20940,-3716,20829,-4819,3526
-2640,-14748,-2024,5270,16197,-4204
812,-6768,1008,773,6129,-4690
3132,-12436,6812,-2772,1524,-1580
4740,-14936,6780,-1813,-7836,2496
-6872,-16640,-11472,-7667,1446,-816
-944,-3536,9700,1630,32767,-11135
3508,-7384,3908,-733,-5186,2144
1948,-20972,5028,3216,-2396,6515
456,-15304,2168,-3737,-13244,4619
3264,-2728,952,-9017,-8792,12086
-12532,-16412,-4076,-7784,-6860,6853
-14120,-20268,-4580,-2799,25330,-1689
-4588,-15676,-16640,12048,4852,-11877
6764,-24540,7112,18853,-13327,844
10184,-8056,10868,4289,-798,-12454
12768,-8196,11476,5116,-634,-4572
-6248,-29160,-24752,1010,-6584,-20397
192,-22404,-5228,8526,-8177,-12847
4720,-8960,7356,12766,-6019,-6067
12756,-10048,6972,4750,7446,-8401
10376,-5056,13444,407,-9617,1710
12732,-7004,11564,-10618,7877,5998
7716,-12756,10024,-16590,-13086,3368
-620,-22296,-12216,-10614,-18703,4290
-2368,-21024,-5600,2764,7276,7957
-1740,-20380,-1696,-1600,4167,5649
940,-6408,3068,3406,12191,-2145
2016,-6780,2832,4189,-3896,758
3436,-27036,-724,1220,9026,8264
-1804,-26472,2232,-1002,-578,11321
1288,-12508,1700,-4197,13472,4460
-1732,-4020,1744,-2504,5930,-1097
-784,-20036,-1660,-2264,12630,-606
3056,-16108,4516,3696,-9481,3791
2800,-7836,3148,2857,-12444,8178
-14720,-10140,-5092,-10065,-12919,-2772
-9396,-23336,-7824,-16784,23912,4991
1180,-20400,-620,15656,-5752,-18448
1824,-21640,15672,21353,5793,3710
9076,-9924,6700,10858,-1868,-11951
12072,-6848,14952,2549,-1501,-1904
11588,-8940,7836,-8156,1276,2851
10132,-9580,10488,-13026,-6157,1849
-1312,-10280,2308,-12857,-5240,3615
-876,-26548,-3764,286,484,4001
-440,-22236,-5408,-8870,-6488,5792
-1748,-13888,-5160,7113,14233,4904
1096,-11448,-804,2185,10421,3931
-92,-8580,3500,2630,11031,-2181
1592,-19608,4108,1220,-5342,2648
688,-12540,3992,-4631,-8347,4319
-2664,-156,2120,-8377,-10511,12923
-896,-9416,40,2698,22866,-7703
-272,-14720,5872,-6039,-12804,-4830
832,-11780,2572,-1912,-5186,2133
1236,-13988,8128,3140,-9402,4548
-6992,-4632,-8468,-3649,-12370,8294
-10624,-24996,1756,-14080,16783,-3795
-6060,-17236,-5696,4400,2801,-11185
-284,-18668,-5916,11336,8865,-15617
7888,-16756,10576,16507,6327,-3293
10548,-6172,13800,6740,-10674,-1114
12076,-7592,11148,-876,4892,-854
11532,-6744,13004,-7676,-577,2175
6064,-22512,6128,16915,9330,-9147
8752,-4560,9184,7567,-3733,-5996
12204,-8116,16096,3761,9692,-4451
9568,-7432,10244,-10119,-7574,6488
6620,-10072,6964,-18627,-313,12824
2428,-20120,2916,-12307,17827,5210
-2952,-23456,-6820,8809,-11091,9494
-4900,-22984,4852,10685,1372,-6010
-1544,-13920,-3668,-5893,-8333,4981
-836,-8384,7136,-4751,17260,-4938
1652,-9496,3388,-3804,5257,-2618
528,-19156,1828,2338,-627,3524
-3748,-19296,3332,15547,2935,-6434
-1688,-16952,-4800,1237,16379,-1274
0,-10316,6448,-9603,5318,1964
1784,-9552,6988,372,19267,-6876
1740,-19860,3112,4677,-8402,5554
232,-11480,4396,-5283,-11751,7058
-8132,-18144,2080,-7346,3884,3426
-6548,-22652,-3832,-13808,1342,-7891
3052,-21348,-11104,14286,21616,-5467
10760,-22960,6476,16275,-518,2096
10592,-276,1596,12598,-1305,-19813
14992,-6620,8508,4678,-258,1558
-3724,-16344,-17008,2545,9,-10758
1932,-24308,-1936,20837,-3999,-9339
6216,-4556,8172,16576,1827,-13470
10976,-15732,6744,3672,-10048,-5875
11376,-4048,10928,623,1511,-266
11296,-8792,9856,-8599,6701,-1614
7892,-6912,14872,-7423,-119,987
8380,-17020,6628,-9884,-9997,6559
1668,-27140,-3868,2352,1840,9103
1636,-19472,1928,-2176,1903,7158
1952,-12332,-116,-776,14002,2013
256,-6720,3468,-4639,1346,2081
-4900,-14484,-12232,-3841,-4167,4646
-7804,-25172,-4936,13446,-15784,3377
-6796,-19324,748,2861,-13493,2157
-2448,-8056,-1936,-938,10956,-2146
748,-8148,8456,283,17034,-8673
292,-17332,1768,-2377,-2352,3611
640,-8136,7084,-6351,-14624,8881
-10800,-624,-6316,-3185,-274,9583
-10048,-23620,-4260,-4256,5199,1221
-8692,-16776,-16984,-2924,6365,-13581
264,-16904,-6068,20266,1041,-9692
4976,-14276,17032,11282,-720,-2408
-7472,3456,-10060,-9628,-19944,13451
-7804,-20648,-10496,4656,17018,-2510
-11780,-19380,-22932,-13573,-13189,-16937
3768,-17136,-5828,13753,-3841,-12974
3064,-11784,1384,14601,-8496,-15327
13484,-12488,10024,8964,7234,-5637
12132,-6652,14668,-1065,116,-499
8492,-6584,11692,-17000,8515,8719
3776,-16244,-3812,-14231,6806,8377
396,-25648,-17812,5551,-19516,11914
-4512,-20188,-1624,17533,3855,-6321
-3048,-17304,4588,-7277,-7306,77
-1288,-7868,260,-2575,24885,-2647
-2296,-19820,-6024,8861,-6061,-11147
-4284,-18368,-5484,-9229,-9943,5230
-912,-11776,3496,2826,27351,-1696
-320,-7224,-196,-4784,-7039,3806
-468,-20324,13500,2363,-2145,2266
628,-11720,48,-5029,626,3140
-764,4408,-9924,-5848,-9817,16033
-7536,-25916,-2564,8657,15955,-5734
-12068,-19832,-29104,-8767,-18893,-18366
-408,-27052,7788,16783,12596,-1462
9276,2992,10172,12941,-4300,-11286
12596,-8220,11044,5520,1662,-4452
-16904,-20596,-22296,16690,-7995,-8147
5588,-27772,6644,14958,17645,-3815
5564,-2828,4472,11964,-3753,-14210
13720,-10892,12920,5767,-6126,-858
9216,-5812,10424,-2336,2772,-804
5544,-17708,13832,-22808,-2995,19049
-732,-18688,6864,-26621,12486,4746
-10364,-21476,-10340,10059,-6127,12914
-7236,-26628,7276,23735,17546,-7819
-2764,-16676,-14796,-6602,1179,3823
-764,-3364,7456,-9654,15302,-9815
-708,-21120,-156,3016,-5043,-2567
2324,-15480,188,-8827,13218,647
188,-5812,4440,-12305,4440,8550
2036,-10488,5804,-298,18495,-1535
184,-18440,-3276,3968,-14937,4847
2020,-10396,5832,1301,-5659,7808
-14196,108,-8796,-11271,-6998,4167
-10248,-23648,6712,-8348,19579,-3621
-13432,-19864,-14596,9975,532,-16117
17500,-25956,-2924,18822,10281,-734
5056,3508,11904,27718,-2083,-6839
11584,-7432,11300,2293,4295,-3090
9672,-9056,9876,-11296,-8761,2733
7968,-988,7508,10570,-4109,-5233
7672,-13580,17516,-329,10188,-2578
9656,-6552,8384,-9536,-3014,1555
1576,-20276,-1136,-20333,-11507,10186
-9200,-32768,-6392,2199,-10838,6477
-2748,-14472,-824,12919,-366,-10571
-1044,-14824,-4628,72,16391,-5693
1028,-6088,8704,-3078,7261,-4518
2824,-8016,144,-2884,-382,2385
2872,-14968,2496,-2236,-92,8433
2648,-1728,5024,-5117,-9379,5932
-10180,-13032,-3732,-13816,2408,762
3208,-11996,4612,-2335,5533,418
692,-5020,-4,-6194,-9853,18048
-12628,-11200,-8860,-6833,5317,3786
-11536,-25856,-5832,-11773,-427,-14439
-7320,-12852,-6120,18914,19029,-17862
-2860,-23332,26480,2865,14362,-3569
3652,-12604,3192,-1108,-9153,-5134
10756,-4012,23020,1095,4602,-2264
9684,-10436,5896,-8898,-3047,1838
9172,-6720,13776,-23067,-6927,9893
4984,-13104,-14996,-14450,634,9355
-6008,-28656,-9436,-4287,-11044,6668
15648,-7140,14520,-14304,8636,1020
1476,-11312,2944,-21256,-17052,6785
-1168,-22740,-6156,-873,16895,9176
-4600,-23280,-2980,18543,-12555,-3184
1404,-13588,-16,-11552,-7113,8245
976,-8344,8476,-12217,18040,-3547
1012,-5332,1036,-5077,5925,-2196
5052,-18644,5516,2329,-8801,7250
492,-5952,3780,-828,-8241,10273
-9092,-4512,-4712,-7322,-9550,2377
-12940,-22092,-2316,-6485,32767,-8671
-7048,-17476,-26764,25256,20336,-11151
-8420,-4992,-8248,-5715,-7976,8983
-12980,-21804,8452,856,27128,4095
-12260,-9176,-10136,25918,28469,-11150
13140,-27744,6564,31232,7042,350
7164,2552,9424,19227,-11382,-3963
12928,-12448,10896,6288,7003,-2708
10784,-4652,12776,-6386,-8529,2300
9604,-9488,10352,-15887,498,6449
3820,-18412,6172,-14856,-12114,15098
-9608,-32768,-412,2581,-6527,4047
-6884,-21924,-456,13118,4249,-10980
-1732,-14644,-4940,-6516,-6351,1300
2916,-17804,7080,-27492,-9275,15347
-2084,-24268,-6132,-657,5524,3456
-9232,-31676,9772,17507,-18080,3655
-3568,-15256,-9056,-9129,11051,354
-1920,-6816,9884,-5182,7983,272
3332,-4620,3524,1976,-532,-10280
-1168,-11500,3180,3061,-20493,9589
1388,-11012,7232,-3021,-6845,10456
-11184,-10060,-8536,-9175,6461,2996
-5976,-13976,-3444,-21900,8914,-8373
-13168,-10972,-19916,4066,4902,-13927
5672,-22712,4704,28178,278,-10477
0,-4224,3196,-3950,-20296,12351
-13992,-25960,-4964,-10176,18624,4024
-7764,-20376,-5572,-5060,8311,-10013
-6980,-18404,-10848,12699,-4161,-21397
7692,-7188,17112,19909,7670,-10005
11008,-11196,3636,1939,-667,-8120
9256,576,20500,249,-9133,50
14312,-4640,9768,-4805,-7476,4077
9752,-5576,10116,-8391,-6920,380
9664,-27748,-548,-3808,-8355,5392
4352,-25252,-1552,-2208,1308,4471
