ax,ay,az,gx,gy,gz
-316,-11200,2936,-2812,15819,-8952
3824,-6720,1660,11334,-15709,-4916
2864,-24132,1612,-1083,1900,16441
5264,-8004,3244,-565,6952,-18285
5520,-26160,1112,7007,-6921,-2025
-5484,-8576,-5524,-6971,7380,10296
4852,-11840,3620,-6128,6196,-6575
11656,-17700,15064,10813,-21686,4605
6052,-17288,7960,31838,-5480,-32768
8380,-4552,7088,23923,-17905,1410
-2952,-3680,-2004,-14660,16346,32513
9044,-32768,10100,-28083,32767,32767
3316,-21404,14528,-12369,29488,-23887
9616,-18440,26020,28524,-32768,-6920
-2072,-16124,3720,32767,-15109,-32768
13644,-7492,9916,11592,-10830,-1378
-476,-4584,-1560,-19654,1670,26849
5252,-22952,10972,-18717,32767,27447
16212,-20224,13940,13467,-14960,-20232
1920,-8288,1480,5480,-5957,-9277
4820,-9148,3672,-5433,320,10775
7396,-22096,8400,4047,-6797,3076
-912,-9416,840,-259,-2165,-1702
-3752,-22128,-2532,-23087,18944,32767
18476,8532,24968,23341,7473,-27228
4716,-15928,10380,32767,-22963,-23523
12668,-3032,9272,15754,4795,-2977
10392,-3892,2456,9289,-11298,2
10688,-6732,3852,-16165,7343,15744
7756,-15376,7844,-32768,16155,32345
-3032,-26420,4648,-12483,26321,11749
8508,-17244,11320,27846,-16968,-16285
4412,-18040,5208,32151,-11663,-12472
4512,-13000,10796,2340,-8183,18542
-3112,-13764,-8,-13470,-3153,24410
-9932,-32768,10260,-13929,32767,437
1952,-12532,5964,2135,30386,-9834
9332,-2988,10148,18178,-8579,-5985
7900,-17744,1924,5948,-11460,18252
6716,-25428,8620,7916,-3125,4618
-2624,-6756,2528,8310,-17736,-15792
600,-25684,-252,2913,23491,14925
860,-20116,-1184,-32768,28159,17474
5648,-16132,-4180,-4839,28487,-3676
13560,-17780,13980,32767,-9675,-25561
10200,-25112,15056,32767,-28678,-20073
6492,-10084,-7764,23225,-22520,-8921
6944,-5620,-7116,-10116,8465,19124
8812,-27728,6048,-21728,32767,32767
-2540,-30996,-11000,-32768,27721,32767
7048,-11004,3580,-15849,32767,2633
13316,-15676,15004,30649,-10758,-3681
3520,-22228,30756,32767,-32768,-10944
9472,-8160,-13248,21316,12819,-4649
2220,-17760,412,-7599,13825,27325
212,-21896,7792,-25434,16831,32767
-9092,-25800,-1088,-9823,32767,17585
10304,-14296,4652,-4366,12930,-7193
9240,-12772,-2212,5626,-4642,-7332
-1464,-13288,-12000,12679,-21328,50
3280,-6992,4,1998,-249,1844
4688,-31460,-8020,5810,-9963,7426
2100,-9756,-3268,7388,2568,-6972
1448,-11520,72,3155,-3399,-1437
4912,-26156,-4848,-3365,14567,22069
11524,-4700,-2524,-11491,8960,-21482
1808,-12120,-4136,2591,-14117,-4726
5392,-16576,-3528,1437,3743,9264
1432,-10604,-2908,2833,-508,-4789
4928,-22492,-3920,2696,-2593,-3552
2332,-11920,-3012,2696,-5503,3155
2800,-7104,984,2887,900,-3427
2872,-31424,-1348,-3292,3385,10134
140,-11764,348,-390,5001,-4873
-1368,-3004,1616,2283,-11697,-7541
-11436,-30628,-20884,-3513,32767,21467
6524,1708,7012,-12809,30208,-6127
14408,-14392,6492,12260,-6379,5613
13420,-27552,12552,32767,-8432,-29382
-276,-27508,5668,24626,-32768,-30306
5632,1236,-9184,13225,-228,-7819
15236,-5832,-4544,-18663,17424,32487
7164,-17712,-1084,-32768,26045,32767
18432,-15580,13524,-5842,13427,6261
