ax,ay,az,gx,gy,gz
9852,-14376,252,-905,15317,-12841
12396,-9804,4104,-2396,11400,-11186
12960,-5876,8492,3751,1464,-5071
12648,-4720,16080,20331,-7490,4367
11328,-13620,7860,31597,-27996,9448
13792,-8164,-232,14136,7562,4392
13976,-7988,2856,8051,-3185,3126
13188,-8832,1724,-1124,-3228,3708
12452,-10988,2344,-10935,2518,7632
9048,-15288,-1888,-18266,8635,5475
10964,-15300,7476,-22898,26439,-7973
12548,-8448,10184,-13240,19235,-11827
12968,-5108,10272,-2975,7292,-5680
11976,-5140,10328,4854,-2745,3665
11728,-7996,18928,23770,-6514,15334
11288,-13920,3828,26521,-23905,8923
9632,-5440,2444,15617,-2486,3752
12916,-6896,3340,2731,-2574,5516
15824,-10544,3608,-8711,5233,5402
13524,-11560,5416,-15494,5554,2938
12516,-13808,4088,-17595,12532,-7220
12952,-8768,9568,-23247,21065,-10875
12396,-4072,12740,-5079,9540,-8941
13256,-4396,9252,5759,-3497,-1014
12192,-3544,10488,14137,-7026,9897
13748,-16736,21820,32767,-24306,21520
13444,-10144,5696,13099,1763,2634
15016,-5768,7860,41,11709,-480
13900,-10428,6300,-6360,-10088,1448
12444,-10624,1488,-15247,4598,5362
12540,-11900,1320,-16052,14136,5560
11564,-16756,4564,-21724,24155,5699
10960,-14772,6624,-20762,23301,-3830
12988,-9612,8328,-7838,16113,-8568
9032,-5056,5684,-102,-6704,10034
15352,-16112,-5416,945,-7004,5627
12308,-14020,-1076,3497,-175,-6415
6216,-5092,-276,1176,-2754,1894
16016,-16516,-852,-3259,-3,2622
13044,-13008,1252,4089,1897,-8119
5656,-3568,468,428,-1005,5229
16064,-21060,-880,1552,632,6470
8976,-10036,1788,3691,7181,-8574
8284,-6236,5612,-4797,-5181,9484
14708,-22212,-1404,-7891,370,8021
7716,-12744,1180,-2051,6550,-5072
9816,-13148,2264,2787,3609,-955
12704,-16412,4372,632,1442,-3919
10220,-10056,4572,13155,-2995,-11056
3884,-5232,12912,32483,-8176,11075
10824,-20680,9868,30948,-32768,20129
11012,-8356,8300,-4792,29406,-3333
10920,-12032,912,-9458,-4689,4343
11480,-14524,7740,-19192,7131,-3137
9720,-12792,-728,-20427,16998,-1810
12424,-11808,2128,-15326,15995,-4912
13472,-7860,7604,-3834,8844,-6479
13592,-7064,6832,3203,848,-1410
13120,-7836,9016,8232,-2616,2666
8268,-10280,19588,32767,-20209,19693
