ax,ay,az,gx,gy,gz
-24,-7996,4132,-1236,-18601,-1832
2452,-10004,52,-2415,-8595,2033
2284,-18880,3140,-8122,10798,2116
3472,-18968,92,-4119,-5017,-394
3032,-15280,1284,-5620,16791,-4165
3168,-3588,-968,5185,-2289,791
900,-21760,7056,-3691,9594,511
9656,-24920,4376,150,-9075,3018
-668,-23336,6236,6147,16172,-949
832,-16924,7640,5436,-12273,-1038
960,-7212,3800,-1797,-8355,-539
2052,-13024,1916,-5332,-12742,2097
2892,-15204,660,-3533,14858,-1656
1172,-5636,3248,844,13565,-1325
2456,-16668,2496,-1707,902,-2574
8988,-25184,5096,-952,-6250,5852
1464,-23316,7820,3289,12446,-1589
1208,-16496,7724,3205,-5181,144
2832,-7528,1240,4028,-12055,-2441
2128,-13812,6188,-3629,-10303,4424
3960,-17212,492,-617,3212,1610
3680,-16024,3048,-2157,2559,-889
1864,-9324,748,-1335,16677,-2422
2264,-12168,3092,-1927,4688,394
324,-16276,9948,4976,-12071,370
2956,-9336,-1060,8966,-15952,2511
2644,-12284,6068,-1821,-4037,4008
3724,-17096,5168,-6957,5699,1318
2428,-16156,2696,-8489,13456,-5417
336,-6012,1464,4540,6448,-399
2892,-17444,8620,-4744,7017,298
5156,-28648,2040,-1388,552,13853
-5284,-25220,3000,4221,-4927,-3734
-1860,-18504,10588,-1589,-3023,-5347
1668,-9048,600,-2749,-7597,-2682
2860,-10324,1272,-3488,-11501,-3701
2276,-10624,2744,5908,-4864,5926
-1664,-27236,11324,-2344,13590,5131
1556,-21616,5964,6389,-171,6054
-3496,-20192,11148,-7224,5238,-4080
780,-11328,2548,2462,-13692,-1937
2036,-8132,1884,-4612,-5502,-4826
5520,-17400,780,-4954,-1693,3996
4580,-16004,1564,-2219,2081,-863
4332,-15568,2380,-2767,13390,-69
4048,-7040,476,5013,4886,4860
-2956,-13048,9040,7022,6005,1927
-1544,-23452,12420,2099,5,4920
3704,-14028,1560,-6829,-5202,3772
2288,-15716,5428,-547,8017,-2284
3812,-15900,-3068,-8063,14092,45
888,-3484,4760,5149,13627,333
4768,-16076,2768,-3134,-12201,3213
9236,-26572,7232,-1006,7534,2009
2192,-23320,5428,2654,8475,-1936
1328,-13948,3400,-977,-6859,-2466
2396,-9852,4060,5104,-14517,1910
2484,-12468,1280,823,-10558,1942
4024,-16740,1396,-4236,6176,3175
2648,-17308,1460,-1177,6943,-4357
788,-4452,280,2294,15647,-1876
772,-20956,3288,4038,-5770,-4070
696,-15508,9248,745,36,-221
1000,-9276,1188,490,-15656,-1513
2904,-14576,252,-4285,-1645,317
